,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
0,1,4,4,4,4,5,5,1,1,5,5,1,1,1,4,5,5,0,0,0,0,5,5,5,1,1,1,1,1,5,5,1,1,5,5,1,1,4,5,5,0,0,5,5,0,1,1,5,5,1,1,4,5,5,0,0,0,1,1,5,5,0,0,5,5,4,4,4,5,5,0,4,4,5,5,5,5,5,1,1,1,5,5,5,12,0,0,0,0,0,0,0,0,0,12,0,
1,5,1,1,1,1,5,5,0,0,0,1,1,5,5,0,0,0,1,5,5,0,1,1,1,1,5,5,5,5,0,0,0,0,5,5,5,0,0,0,5,5,5,1,1,1,5,5,0,0,0,0,0,5,5,1,1,5,5,0,0,0,0,0,5,5,5,0,1,5,5,0,0,0,0,5,5,1,1,1,5,5,0,0,1,9,0,0,0,0,0,0,0,0,0,9,0,
2,0,0,0,0,1,5,5,1,1,1,5,5,0,0,1,5,5,5,0,0,0,0,1,5,5,0,0,0,0,5,5,1,2,5,5,0,0,1,2,2,5,5,0,0,1,1,5,5,5,5,5,5,0,0,1,2,2,5,5,2,2,5,5,0,0,2,2,5,5,5,0,0,5,5,0,0,0,1,5,5,0,1,2,2,12,0,0,0,0,0,0,0,0,0,12,0,
3,0,0,0,0,0,5,5,2,4,4,5,5,5,5,5,5,0,0,3,5,5,3,3,3,5,5,2,3,5,5,0,0,0,3,3,5,5,0,3,3,3,4,5,5,0,0,4,5,5,4,4,5,5,5,5,5,3,4,4,5,5,5,0,3,3,4,4,5,5,5,2,2,4,5,5,0,0,0,3,5,5,2,3,4,9,0,0,0,0,0,0,0,0,0,9,0,
4,0,1,1,1,1,5,5,0,0,0,0,5,5,0,0,0,5,5,0,0,5,5,0,1,1,1,1,5,5,1,1,5,5,5,5,0,1,1,1,1,5,5,5,5,5,5,0,1,1,1,1,5,5,1,1,5,5,0,0,0,0,5,5,0,0,0,0,0,5,5,0,1,1,1,1,5,5,5,0,1,1,1,1,5,16,0,0,0,0,0,0,0,0,0,16,0,
5,1,1,5,5,1,1,1,1,1,5,5,1,1,1,1,5,5,1,1,1,1,1,5,5,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,1,1,1,1,1,5,5,1,1,1,1,1,5,5,1,1,1,1,1,5,5,5,5,1,1,1,1,1,5,5,1,1,1,1,1,5,5,5,1,1,1,1,10,0,0,0,0,0,0,0,0,0,2,8,
6,3,3,5,5,0,3,3,5,5,2,2,5,5,5,2,3,3,3,3,5,5,5,0,0,0,0,3,5,5,0,0,3,3,3,5,5,0,0,0,0,0,5,5,0,3,3,5,5,5,5,0,0,5,5,5,5,0,1,3,3,3,5,5,0,0,1,2,2,5,5,0,0,3,5,5,3,3,5,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,
7,3,3,3,3,5,5,2,1,3,3,5,5,2,3,3,5,5,2,2,5,5,3,3,3,3,3,5,5,1,1,2,3,3,5,5,1,1,2,1,5,5,5,2,2,2,2,5,5,5,2,2,3,3,4,5,5,5,5,5,5,5,3,3,4,4,5,5,5,2,2,3,3,3,5,5,3,3,4,4,5,5,5,1,1,3,0,0,0,0,0,0,0,0,0,3,0,
8,0,0,0,5,5,0,0,0,5,5,1,1,5,5,2,2,2,2,2,5,5,5,0,0,0,1,5,5,0,1,5,5,0,2,2,5,5,0,0,5,5,5,5,5,1,2,1,1,1,5,5,0,0,0,0,0,5,5,0,0,0,5,5,0,0,0,0,1,5,5,1,1,5,5,0,2,2,2,2,5,5,0,2,2,7,0,0,0,0,0,0,0,0,0,7,0,
9,3,3,3,3,3,5,5,2,3,3,3,3,5,5,5,4,4,5,5,2,1,2,2,5,5,2,3,3,3,3,5,5,5,5,5,3,3,3,3,3,5,5,5,4,4,4,4,4,5,5,2,1,3,5,5,3,3,3,5,5,5,5,5,1,1,1,5,5,1,1,5,5,2,2,3,5,5,2,2,4,5,5,1,1,13,0,0,0,0,0,0,0,0,0,13,0,
10,3,3,3,4,4,5,5,5,5,5,3,3,3,3,3,5,5,3,3,5,5,3,3,3,3,4,5,5,4,4,4,4,4,5,5,5,0,0,5,5,4,4,4,5,5,0,3,3,5,5,5,3,3,5,5,5,3,3,3,5,5,3,3,3,3,5,5,3,3,3,3,3,5,5,5,5,5,5,3,3,3,3,4,5,3,0,0,0,0,0,0,0,0,0,2,1,
11,3,3,5,5,1,1,3,5,5,0,0,0,0,1,5,5,3,3,3,5,5,5,3,3,3,3,5,5,3,3,3,3,3,5,5,0,0,0,1,3,5,5,3,3,3,5,5,3,3,3,5,5,1,3,5,5,1,1,1,3,3,5,5,5,5,5,1,1,1,1,1,5,5,5,5,0,0,0,0,0,5,5,1,1,8,0,0,0,0,0,0,0,0,0,8,0,
12,4,5,5,3,3,5,5,5,5,5,5,5,0,3,5,5,3,3,3,3,4,5,5,3,3,3,5,5,3,3,5,5,0,0,3,4,5,5,3,3,5,5,5,3,4,4,4,5,5,3,3,3,3,3,5,5,0,0,3,3,4,5,5,0,0,3,5,5,0,3,3,3,3,5,5,3,3,4,5,5,0,0,0,3,9,0,0,0,0,0,0,0,0,0,9,0,
13,5,1,2,2,2,5,5,0,2,2,5,5,0,0,0,0,1,5,5,0,0,0,2,1,5,5,5,5,5,5,4,4,4,5,5,0,0,0,0,0,5,5,5,5,0,0,4,4,4,5,5,0,0,2,4,4,5,5,5,0,1,5,5,5,2,4,5,5,0,1,5,5,4,4,4,5,5,5,5,0,0,0,1,2,9,0,0,0,0,0,0,0,0,0,9,0,
14,1,5,5,5,5,5,0,0,2,1,2,5,5,5,5,5,0,1,2,1,2,5,5,0,0,3,5,5,2,2,2,5,5,1,1,5,5,1,1,2,5,5,0,0,0,0,0,5,5,0,0,2,1,3,5,5,0,0,2,3,3,5,5,5,0,0,0,0,3,5,5,1,1,2,2,1,5,5,0,1,3,3,3,5,7,0,0,0,0,0,0,0,0,0,7,0,
15,0,0,5,5,0,3,3,3,5,5,0,3,5,5,0,0,3,5,5,3,3,3,3,3,5,5,5,5,5,5,3,3,3,5,5,3,3,3,3,3,5,5,1,1,3,3,3,5,5,1,1,3,5,5,3,3,5,5,1,1,1,1,3,5,5,3,3,3,3,5,5,0,0,0,3,5,5,0,0,5,5,1,3,3,20,0,0,0,0,0,0,0,0,0,20,0,
16,5,5,0,0,0,0,4,5,5,5,3,4,5,5,2,3,4,5,5,0,0,3,5,5,5,5,3,3,3,3,3,5,5,5,5,5,2,2,3,4,5,5,2,2,3,5,5,3,3,3,5,5,2,2,3,3,4,5,5,4,4,4,4,4,5,5,0,4,5,5,3,3,3,3,3,5,5,5,3,3,3,4,5,5,2,0,0,0,0,0,0,0,0,0,2,0,
17,0,4,4,5,5,0,0,0,4,4,5,5,5,0,0,0,0,0,5,5,5,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,5,5,0,0,5,5,0,4,4,4,4,5,5,5,4,4,5,5,5,5,5,5,0,0,0,5,5,0,4,5,5,0,0,0,0,5,5,0,4,5,5,0,0,5,5,0,0,0,10,0,0,0,0,0,0,0,0,0,5,5,
18,5,5,5,5,5,3,3,3,3,3,5,5,5,5,0,0,1,1,1,5,5,0,4,4,4,4,5,5,4,4,4,4,5,5,3,3,3,3,3,5,5,5,5,5,3,3,3,3,3,5,5,4,4,5,5,3,4,5,5,1,3,5,5,5,0,0,3,3,5,5,3,3,4,5,5,3,3,3,3,5,5,3,3,3,10,0,0,0,0,0,0,0,0,0,10,0,
19,1,1,1,5,5,5,5,1,1,1,1,1,5,5,1,1,1,5,5,5,0,0,1,5,5,1,1,1,1,5,5,5,1,1,1,1,1,5,5,1,1,1,1,5,5,0,0,0,1,1,5,5,0,1,5,5,0,0,0,0,0,5,5,0,0,0,5,5,0,0,0,0,0,5,5,5,5,0,1,1,1,1,5,5,6,0,0,0,0,0,0,0,0,0,6,0,
20,1,2,5,5,2,2,2,5,5,0,0,1,5,5,0,1,1,2,1,5,5,5,1,2,2,2,5,5,0,0,0,0,0,5,5,0,0,0,0,0,5,5,5,5,5,1,2,2,1,5,5,1,1,1,1,1,5,5,0,0,1,2,1,5,5,2,1,5,5,0,0,0,0,5,5,5,5,1,2,5,5,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,
21,2,5,5,1,1,1,2,2,5,5,2,2,1,2,1,5,5,5,5,5,5,1,1,1,1,5,5,1,1,5,5,1,2,1,2,5,5,1,1,2,2,1,5,5,2,1,1,5,5,1,2,1,2,1,5,5,1,2,2,1,1,5,5,1,2,2,2,1,5,5,1,2,5,5,1,1,1,2,5,5,2,1,5,5,7,0,0,0,0,0,0,0,0,0,7,0,
22,5,0,0,0,3,5,5,3,3,3,3,3,5,5,3,3,3,5,5,3,3,3,5,5,5,3,3,3,3,3,5,5,3,3,3,3,5,5,3,3,5,5,3,3,3,3,3,5,5,3,3,3,3,3,5,5,3,3,5,5,3,3,3,3,5,5,3,3,3,3,3,5,5,5,5,5,5,3,3,3,5,5,3,3,12,0,0,0,0,0,0,0,0,0,12,0,
23,3,3,3,3,3,5,5,0,0,1,3,3,5,5,5,5,0,0,0,0,2,5,5,5,5,0,3,5,5,0,0,0,3,5,5,0,0,5,5,0,0,0,0,2,5,5,0,0,0,1,3,5,5,0,0,0,5,5,3,3,3,5,5,1,3,5,5,0,0,5,5,0,3,3,3,5,5,0,0,0,0,1,5,5,14,0,0,0,0,0,0,0,0,0,14,0,
24,1,5,5,0,1,3,3,3,5,5,3,3,5,5,5,3,3,3,3,5,5,5,4,4,4,4,5,5,0,1,1,3,3,5,5,5,3,3,3,3,5,5,4,4,5,5,5,3,3,4,4,5,5,3,3,5,5,5,3,3,3,3,4,5,5,0,3,5,5,0,3,3,3,3,5,5,5,5,3,3,3,3,3,5,21,0,0,0,0,0,0,0,0,0,21,0,
25,3,3,3,3,3,5,5,4,4,4,4,4,5,5,3,3,5,5,5,3,3,3,3,3,5,5,4,4,4,5,5,3,3,5,5,3,3,3,3,3,5,5,3,3,5,5,3,3,3,3,3,5,5,5,5,3,3,3,3,5,5,3,3,3,3,3,5,5,3,3,5,5,3,3,3,5,5,3,4,5,5,5,5,5,7,0,0,0,0,0,0,0,0,0,7,0,
26,5,0,0,0,0,5,5,0,0,0,0,0,5,5,3,4,4,4,4,5,5,5,5,5,0,0,0,0,4,5,5,5,0,0,2,3,4,5,5,0,0,0,5,5,0,0,0,5,5,1,1,2,2,4,5,5,3,3,4,4,5,5,2,1,1,1,1,5,5,5,5,5,5,2,1,4,5,5,5,5,5,5,4,4,4,0,0,0,0,0,0,0,0,0,4,0,
27,1,2,2,2,2,5,5,3,3,3,3,3,5,5,3,3,3,3,3,5,5,0,3,3,3,5,5,5,5,5,5,1,1,5,5,1,1,5,5,0,0,0,0,0,5,5,0,3,3,3,5,5,0,3,3,3,3,5,5,5,5,2,2,2,5,5,0,2,5,5,1,2,5,5,2,3,3,5,5,3,3,3,3,3,17,0,0,0,0,0,0,0,0,0,15,2,
28,0,3,3,3,3,5,5,3,3,3,3,3,5,5,5,5,1,3,3,3,3,5,5,0,0,0,5,5,3,3,3,5,5,1,3,3,3,5,5,1,1,1,3,5,5,3,3,5,5,5,5,5,5,0,3,3,3,5,5,0,0,5,5,3,3,3,3,3,5,5,3,3,5,5,0,0,0,0,5,5,3,3,3,3,16,0,0,0,0,0,0,0,0,0,16,0,
29,0,0,0,0,0,5,5,0,0,0,0,0,5,5,0,0,0,0,2,5,5,2,2,2,2,5,5,0,0,0,0,2,5,5,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,0,0,5,5,0,2,2,2,2,5,5,0,0,0,2,5,5,0,0,2,2,5,5,0,0,0,0,0,5,5,0,2,2,5,5,7,0,0,0,0,0,0,0,0,0,7,0,
30,5,5,1,1,1,5,5,0,1,1,5,5,5,5,1,1,1,5,5,4,4,4,4,5,5,5,5,5,3,3,3,3,5,5,0,4,4,4,5,5,3,3,3,3,5,5,5,5,5,5,5,5,0,3,4,4,5,5,0,0,1,3,5,5,2,3,3,3,5,5,5,1,1,1,1,5,5,1,1,4,4,5,5,0,25,0,0,0,0,0,0,0,0,0,25,0,
