1	2	1	2
1	6	0	1
1	7	0	1
1	8	0	1
1	9	0	1
1	13	1	2
1	14	1	2
1	15	1	2
1	16	1	2
1	17	1	2
3	2	0	2
3	3	0	2
3	4	0	2
5	23	2	3
5	24	2	3
6	2	0	2
6	3	0	2
6	7	0	3
6	8	0	3
6	9	0	3
6	10	0	3
6	14	0	2
6	15	0	2
6	16	0	2
6	17	0	2
6	18	0	2
7	1	1	2
7	2	1	2
8	3	0	1
8	4	0	1
8	5	0	1
9	0	0	1
9	1	0	1
9	2	0	1
9	3	0	1
9	4	0	1
9	16	0	1
9	17	0	1
9	18	0	1
10	4	2	3
10	10	1	3
10	11	1	3
10	12	1	3
10	13	1	3
12	7	2	1
12	8	2	1
12	9	2	1
12	10	2	1
12	11	2	1
16	10	1	3
16	11	1	3
16	12	1	3
16	16	1	3
17	14	2	3
17	15	2	3
17	16	2	3
18	23	2	3
18	24	2	3
18	25	2	3
19	20	1	1
19	21	1	1
19	22	1	1
19	23	1	1
19	24	1	1
