28	28	0	8640	7560	5	2	2	2
28	28	0	8640	7560	5	2	2	2
28	28	9	8640	7560	5	2	2	2
28	0	0	8640	7560	5	2	2	2
28	28	9	8640	7560	5	2	2	2
28	0	9	8640	7560	5	2	2	2
28	0	0	8640	7560	5	2	2	2
28	28	9	8640	7560	5	2	2	2
28	28	0	8640	7560	5	2	2	2
28	28	9	8640	7560	5	2	2	2
28	28	9	8640	7560	6	2	3	2
28	28	9	8640	7560	6	2	3	2
28	28	9	8640	7560	6	2	3	2
28	28	9	8640	7560	6	2	3	2
28	28	0	8640	7560	6	2	3	2
0	28	4	4320	3240	5	1	2	3
28	28	0	4320	3240	5	1	2	3
28	28	4	4320	3240	5	1	2	3
28	28	4	4320	3240	5	1	2	3
28	28	0	4320	3240	5	1	2	3
