回数,計算時間,評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト,人数違反
0,0.007000,5851,0,0,0,0,0,0,0,0,0,66,0,5785,
0,132.225000,12808,0,0,0,0,0,0,0,0,0,247,9,12552,
0,132.767000,11375,0,0,0,0,0,0,0,0,0,231,6,11138,
0,132.770000,11375,0,0,0,0,0,0,0,0,0,231,6,11138,
0,133.009000,11142,0,0,0,0,0,0,0,0,0,199,7,10936,
0,133.251000,11136,0,0,0,0,0,0,0,0,0,193,7,10936,
0,133.498000,11134,0,0,0,0,0,0,0,0,0,192,6,10936,
0,133.745000,11132,0,0,0,0,0,0,0,0,0,190,6,10936,
0,133.990000,11030,0,0,0,0,0,0,0,0,0,187,8,10835,
0,134.231000,11030,0,0,0,0,0,0,0,0,0,187,8,10835,
0,134.474000,11028,0,0,0,0,0,0,0,0,0,185,8,10835,
0,134.717000,10926,0,0,0,0,0,0,0,0,0,184,8,10734,
0,134.968000,10926,0,0,0,0,0,0,0,0,0,184,8,10734,
0,135.209000,10926,0,0,0,0,0,0,0,0,0,184,8,10734,
0,135.453000,10926,0,0,0,0,0,0,0,0,0,184,8,10734,
0,135.694000,10926,0,0,0,0,0,0,0,0,0,184,8,10734,
0,135.939000,10826,0,0,0,0,0,0,0,0,0,183,10,10633,
0,136.187000,10823,0,0,0,0,0,0,0,0,0,180,10,10633,
0,136.432000,10821,0,0,0,0,0,0,0,0,0,180,8,10633,
0,136.675000,10820,0,0,0,0,0,0,0,0,0,179,8,10633,
0,136.919000,10819,0,0,0,0,0,0,0,0,0,178,8,10633,
0,137.162000,10819,0,0,0,0,0,0,0,0,0,178,8,10633,
0,137.413000,10816,0,0,0,0,0,0,0,0,0,174,9,10633,
0,137.655000,10815,0,0,0,0,0,0,0,0,0,173,9,10633,
0,137.900000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,138.142000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,138.387000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,138.639000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,138.882000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,139.124000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,139.366000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,139.609000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,139.860000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,140.102000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,140.343000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,140.586000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,140.828000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,141.082000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,141.324000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,141.569000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,141.811000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,142.057000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,142.306000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,142.550000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,142.792000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,143.035000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,143.277000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,143.531000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,143.773000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,144.018000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,144.259000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,144.504000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,144.756000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,145.000000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,145.242000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,145.486000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,145.727000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
0,145.978000,10814,0,0,0,0,0,0,0,0,0,173,8,10633,
