,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
0,0,1,4,4,1,1,2,2,4,4,0,0,4,4,2,2,2,2,3,4,4,1,3,3,4,4,0,2,2,2,4,4,1,2,3,4,4,4,0,0,0,0,4,4,0,0,1,4,4,1,1,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
1,4,4,0,0,0,2,2,4,4,2,2,2,4,4,0,0,0,0,2,4,4,0,0,0,2,4,4,2,2,2,2,2,4,4,4,2,2,2,4,4,0,0,0,0,0,4,4,4,4,2,2,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,
2,0,3,4,4,0,0,1,1,4,4,0,1,4,4,4,0,0,1,1,4,4,1,3,3,3,3,4,4,1,3,4,4,0,0,0,1,1,4,4,3,3,3,3,4,4,1,1,1,1,4,4,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,2,2,2,4,4,0,2,2,2,2,4,4,0,0,1,1,1,4,4,4,0,0,0,0,0,4,4,1,2,2,2,2,4,4,4,4,4,4,0,0,0,0,4,4,0,0,4,4,0,1,4,4,1,1,1,2,0,0,0,0,0,0,0,0,0,2,0,
4,1,1,1,1,3,4,4,1,3,4,4,1,1,1,1,4,4,0,3,4,4,0,3,3,4,4,1,1,1,1,1,4,4,1,3,3,3,4,4,0,0,1,4,4,4,1,1,4,4,1,1,1,1,3,4,4,1,0,0,0,0,0,0,0,0,0,1,0,
5,2,2,4,4,0,1,4,4,4,1,1,2,4,4,0,0,4,4,0,1,1,1,4,4,1,2,4,4,1,3,3,3,3,4,4,1,1,1,2,2,4,4,0,0,1,4,4,2,2,2,3,3,4,4,3,3,1,0,0,0,0,0,0,0,0,0,1,0,
6,4,2,2,2,3,4,4,4,4,0,0,0,0,3,4,4,4,2,2,4,4,2,2,2,2,2,4,4,2,3,3,3,3,4,4,2,3,3,3,4,4,0,2,4,4,0,0,0,0,0,4,4,0,2,3,4,2,0,0,0,0,0,0,0,0,0,2,0,
7,2,2,2,2,2,4,4,4,2,2,4,4,0,2,4,4,0,2,2,4,4,2,2,2,2,2,4,4,2,2,2,2,2,4,4,0,2,4,4,2,2,2,4,4,2,2,4,4,2,2,4,4,2,2,2,2,11,0,0,0,0,0,0,0,0,0,11,0,
8,0,0,0,0,4,4,0,1,4,4,1,1,1,1,1,4,4,1,1,4,4,4,0,0,0,0,4,4,1,1,1,1,1,4,4,0,1,1,4,4,1,1,1,1,4,4,0,0,4,4,0,0,0,0,4,4,5,0,0,0,0,0,0,0,0,0,5,0,
9,4,0,0,2,2,2,4,4,1,1,1,1,4,4,1,1,2,2,4,4,4,4,1,1,4,4,0,1,2,2,4,4,0,1,4,4,0,0,0,0,4,4,0,0,1,2,2,4,4,1,1,2,2,4,4,1,4,0,0,0,0,0,0,0,0,0,4,0,
10,1,1,4,4,4,1,1,1,3,3,4,4,1,1,1,4,4,3,3,3,4,4,1,1,1,1,4,4,0,0,0,0,1,4,4,0,0,0,1,1,4,4,4,1,1,1,4,4,4,4,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,
11,2,2,2,4,4,0,3,3,3,4,4,0,0,0,2,2,4,4,0,2,2,3,4,4,0,0,4,4,4,4,4,2,2,4,4,0,0,0,2,3,4,4,3,3,3,3,3,4,4,4,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,0,2,0,
12,0,0,0,0,4,4,0,1,1,1,1,4,4,4,2,2,2,2,2,4,4,4,0,0,0,0,4,4,1,1,4,4,1,1,1,2,2,4,4,0,1,1,1,4,4,0,1,4,4,2,2,2,4,4,4,0,11,0,0,0,0,0,0,0,0,0,11,0,
