,0,1,2,3,4,5,6,7,8,9,10,11,12,13,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
A,3,3,0,1,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3840,
B,3,1,1,1,1,3,3,2,2,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,6,3,4320,
C,2,3,3,0,1,3,3,2,2,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3840,
D,3,0,0,0,2,3,3,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,4320,
E,0,0,3,3,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3840,
F,3,0,1,1,1,3,3,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4320,
G,2,2,2,3,3,1,1,3,3,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3840,
H,0,3,3,0,1,1,2,2,3,3,2,2,3,3,1,0,0,0,0,0,0,0,0,0,1,0,2,2,4,3840,
I,1,1,1,1,3,3,3,3,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,4320,
J,1,1,3,3,3,0,0,1,1,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,3360,
K,1,1,3,3,3,1,1,1,1,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3840,
L,3,2,2,2,3,3,3,1,1,1,1,2,2,3,2,0,0,0,0,0,0,0,0,0,2,0,0,4,5,4320,
M,3,3,1,1,2,3,3,3,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4320,
N,3,3,1,2,2,2,2,3,3,3,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3360,
O,2,2,3,3,3,1,1,1,1,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3360,
P,3,3,3,3,3,3,3,1,3,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1920,
Q,3,3,3,3,2,3,3,3,3,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1920,
R,3,3,0,3,3,1,1,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1920,
S,3,3,2,3,3,0,0,0,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,1,1920,
T,3,3,3,0,0,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1920,
人数違反,0,0,0,0,0,200,400,0,0,0,0,0,300,200,
Eの勤務人数,2,3,3,4,2,3,3,4,3,4,2,2,2,1,
Dの勤務人数,3,4,5,5,5,6,5,6,4,5,5,3,4,5,
Lの勤務人数,3,3,3,2,4,1,2,3,2,4,2,4,4,3,
Eの必要人数,2,3,3,4,2,4,6,4,3,4,2,2,2,3,
Dの必要人数,3,4,5,5,5,6,5,6,4,5,5,3,6,5,
Lの必要人数,3,3,3,2,4,2,3,3,2,4,2,4,5,3,
