回数,計算時間,評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト,人数違反
0,0.078000,4577,0,0,0,0,0,0,0,0,0,43,9,4525,
0,0.131000,2754,0,0,0,0,0,0,0,0,0,39,11,2704,
0,0.133000,2754,0,0,0,0,0,0,0,0,0,39,11,2704,
0,0.144000,2239,0,0,0,0,0,0,0,0,0,26,12,2201,
0,0.155000,2135,0,0,0,0,0,0,0,0,0,23,12,2100,
0,0.166000,2131,0,0,0,0,0,0,0,0,0,22,9,2100,
0,0.176000,2129,0,0,0,0,0,0,0,0,0,21,8,2100,
0,0.188000,1921,0,0,0,0,0,0,0,0,0,17,3,1901,
0,0.199000,1917,0,0,0,0,0,0,0,0,0,17,0,1900,
0,0.210000,1816,0,0,0,0,0,0,0,0,0,15,0,1801,
0,0.221000,1815,0,0,0,0,0,0,0,0,0,15,0,1800,
0,0.232000,1815,0,0,0,0,0,0,0,0,0,15,0,1800,
0,0.242000,1810,0,0,0,0,0,0,0,0,0,10,0,1800,
0,0.253000,1516,0,0,0,0,0,0,0,0,0,12,2,1502,
0,0.264000,1516,0,0,0,0,0,0,0,0,0,12,2,1502,
0,0.275000,1516,0,0,0,0,0,0,0,0,0,12,2,1502,
0,0.286000,1516,0,0,0,0,0,0,0,0,0,12,2,1502,
0,0.297000,1516,0,0,0,0,0,0,0,0,0,12,2,1502,
0,0.308000,1512,0,0,0,0,0,0,0,0,0,11,0,1501,
0,0.319000,1511,0,0,0,0,0,0,0,0,0,10,0,1501,
0,0.330000,1511,0,0,0,0,0,0,0,0,0,10,0,1501,
0,0.341000,1511,0,0,0,0,0,0,0,0,0,10,0,1501,
0,0.352000,1509,0,0,0,0,0,0,0,0,0,9,0,1500,
0,0.363000,1509,0,0,0,0,0,0,0,0,0,9,0,1500,
0,0.374000,1509,0,0,0,0,0,0,0,0,0,9,0,1500,
0,0.385000,1509,0,0,0,0,0,0,0,0,0,9,0,1500,
0,0.396000,1509,0,0,0,0,0,0,0,0,0,9,0,1500,
0,0.407000,1509,0,0,0,0,0,0,0,0,0,9,0,1500,
0,0.418000,1509,0,0,0,0,0,0,0,0,0,9,0,1500,
0,0.429000,1509,0,0,0,0,0,0,0,0,0,9,0,1500,
0,0.440000,1509,0,0,0,0,0,0,0,0,0,9,0,1500,
0,0.451000,1509,0,0,0,0,0,0,0,0,0,9,0,1500,
0,0.461000,1509,0,0,0,0,0,0,0,0,0,9,0,1500,
0,0.473000,1509,0,0,0,0,0,0,0,0,0,9,0,1500,
0,0.484000,1509,0,0,0,0,0,0,0,0,0,9,0,1500,
0,0.494000,1509,0,0,0,0,0,0,0,0,0,9,0,1500,
0,0.506000,1416,0,0,0,0,0,0,0,0,0,16,0,1400,
0,0.516000,1416,0,0,0,0,0,0,0,0,0,16,0,1400,
0,0.527000,1416,0,0,0,0,0,0,0,0,0,16,0,1400,
0,0.538000,1416,0,0,0,0,0,0,0,0,0,16,0,1400,
0,0.550000,1416,0,0,0,0,0,0,0,0,0,16,0,1400,
0,0.560000,1416,0,0,0,0,0,0,0,0,0,16,0,1400,
0,0.572000,1416,0,0,0,0,0,0,0,0,0,16,0,1400,
0,0.582000,1416,0,0,0,0,0,0,0,0,0,16,0,1400,
