0	11	12
0	12	12
0	13	12
0	14	12
0	3	11
0	4	11
0	5	11
1	1	11
1	20	1
1	21	1
1	22	1
1	23	1
1	7	10
1	8	10
1	9	10
10	25	10
10	26	10
10	27	10
10	4	13
10	5	13
100	0	10
100	1	10
100	14	2
100	15	2
100	16	2
100	6	11
101	12	17
102	3	0
102	8	15
102	9	15
104	21	7
104	6	7
105	18	11
105	19	11
106	20	4
107	0	5
107	1	5
107	10	5
107	7	5
107	8	5
107	9	5
109	19	11
109	20	11
109	21	11
109	3	15
11	1	5
11	11	8
11	18	6
11	2	5
11	21	6
11	22	6
11	6	2
11	7	2
111	12	12
111	17	13
111	18	13
112	18	9
112	27	5
113	0	13
113	13	13
113	14	13
113	15	13
113	16	13
114	15	15
116	14	5
116	15	5
116	16	5
116	17	5
116	18	5
116	23	13
116	24	13
117	14	2
117	15	2
117	16	2
118	16	3
118	17	3
118	18	3
118	19	3
118	20	3
119	14	17
119	9	1
13	6	4
14	17	12
14	18	12
15	3	11
15	4	11
16	13	6
16	14	6
17	1	17
17	17	12
17	18	12
17	3	17
18	21	14
18	24	14
18	3	12
18	4	12
18	5	12
18	6	12
19	11	14
19	9	14
2	11	0
2	12	0
2	13	0
20	13	16
20	19	4
21	14	13
21	15	13
21	16	13
21	17	13
21	7	6
21	8	6
21	9	6
22	19	14
22	21	14
22	26	7
22	27	7
22	3	7
22	4	7
23	15	13
23	19	8
23	20	8
23	7	12
23	8	12
24	15	10
24	7	13
24	8	13
24	9	13
25	10	0
25	11	0
25	12	0
25	19	10
25	9	0
26	0	6
26	14	9
26	22	16
26	24	16
27	20	4
27	26	16
27	27	16
28	11	12
28	13	12
28	21	6
28	22	6
28	23	6
28	24	6
29	16	9
29	6	10
29	7	10
3	14	13
3	15	13
3	16	13
3	17	13
30	0	11
30	1	11
30	2	11
30	3	11
31	14	8
31	15	8
31	8	16
31	9	16
32	10	1
32	11	1
32	12	1
32	16	11
32	17	11
32	18	11
32	2	12
32	24	10
32	3	12
32	4	12
33	18	4
33	8	12
33	9	12
34	1	8
34	10	17
34	14	11
34	2	8
35	17	7
35	18	7
35	19	7
35	2	5
35	20	7
35	3	5
35	4	5
35	5	5
35	9	7
36	10	0
36	3	17
36	5	17
37	3	9
38	18	10
38	19	10
38	20	10
38	21	10
38	22	10
39	3	12
39	4	12
39	5	12
39	6	12
4	1	14
4	19	9
4	27	10
4	3	14
40	11	12
40	12	12
40	13	12
40	14	12
40	22	8
40	23	8
40	24	8
40	25	8
41	10	9
42	0	0
42	1	0
42	2	0
42	22	14
42	3	0
42	4	0
45	12	8
45	13	8
45	14	8
45	15	8
45	23	10
45	24	10
45	25	10
45	3	14
46	14	15
46	15	15
46	19	14
46	24	8
46	4	11
46	5	11
47	1	10
47	15	5
47	16	5
47	17	5
48	10	0
48	3	5
49	3	10
49	4	10
5	13	9
5	5	14
5	7	14
50	10	15
50	11	15
50	9	15
52	10	8
52	18	14
52	20	14
53	18	2
53	19	2
53	6	4
54	0	11
54	1	11
54	14	7
54	15	7
54	2	11
55	11	17
55	15	4
55	7	17
56	22	4
57	0	14
57	12	5
57	2	14
57	4	14
58	1	2
58	14	2
58	15	2
58	22	16
58	23	16
59	15	15
6	14	11
6	15	11
6	16	11
6	17	11
6	7	1
6	8	1
60	21	8
60	22	8
60	23	8
61	17	11
61	18	11
61	19	11
61	3	16
61	9	16
62	6	8
62	7	8
62	8	8
62	9	8
63	13	17
64	2	5
65	1	16
65	10	15
65	11	15
65	20	9
65	9	15
66	10	15
66	8	15
66	9	15
68	12	17
68	9	17
69	0	7
69	13	17
69	16	17
69	23	14
7	4	9
7	8	9
70	18	10
70	19	10
70	20	10
70	21	10
70	25	15
70	26	15
70	27	15
71	16	3
71	17	3
71	18	3
71	19	3
71	20	3
72	18	15
72	19	15
72	24	3
72	6	14
73	11	7
73	17	1
73	21	8
73	22	8
75	1	10
75	16	9
75	2	10
75	27	4
75	3	10
76	26	16
76	27	16
77	12	3
77	13	3
77	14	3
77	15	3
77	16	3
77	26	7
77	3	14
79	3	8
79	4	8
79	5	8
79	6	8
79	7	8
8	2	5
8	21	4
8	4	5
8	5	5
8	6	5
80	22	3
80	23	3
80	24	3
80	25	3
82	13	16
82	14	16
83	10	0
83	11	0
83	16	7
83	17	7
83	18	7
83	19	7
83	2	15
83	20	7
83	25	7
83	3	15
84	14	0
84	15	0
84	7	4
85	0	11
85	1	11
85	2	11
85	3	11
85	4	11
86	10	1
86	11	1
86	2	6
86	24	17
86	3	6
86	8	1
86	9	1
87	1	15
87	15	7
87	2	15
87	23	7
87	24	7
87	25	7
87	3	15
88	26	11
