14	14	0	4320	3360	5	2	2	1
14	14	5	4320	3360	5	2	2	1
14	14	5	4320	3360	5	2	2	1
14	0	5	4320	3360	5	2	2	1
14	0	0	4320	3360	5	2	2	1
14	14	0	4320	3360	5	2	2	1
14	14	5	4320	3360	5	2	2	1
14	14	5	4320	3360	5	2	2	1
14	14	5	4320	3360	5	2	2	1
14	14	0	4320	3360	5	2	2	1
14	14	0	4320	3360	6	2	3	1
0	14	5	4320	3360	6	2	3	1
14	14	5	4320	3360	6	2	3	1
0	14	5	4320	3360	6	2	3	1
0	14	5	4320	3360	6	2	3	1
14	14	2	2160	1200	5	1	2	1
0	14	2	2160	1200	5	1	2	1
14	14	0	2160	1200	5	1	2	1
14	0	2	2160	1200	5	1	2	1
14	14	0	2160	1200	5	1	2	1
