0	0	8	100	1
0	1	7	100	1
0	2	9	100	1
0	3	8	100	1
0	4	4	100	1
0	5	3	100	1
1	0	8	100	1
1	1	4	100	1
1	2	8	100	1
1	3	8	100	1
1	4	2	100	1
1	5	2	100	1
2	0	7	100	1
2	1	5	100	1
2	2	7	100	1
2	3	7	100	1
2	4	3	100	1
2	5	3	100	1
3	0	7	100	1
3	1	4	100	1
3	2	7	100	1
3	3	7	100	1
3	4	4	100	1
3	5	3	100	1
4	0	9	100	1
4	1	5	100	1
4	2	7	100	1
4	3	6	100	1
4	4	4	100	1
4	5	3	100	1
5	0	9	100	1
5	1	5	100	1
5	2	9	100	1
5	3	7	100	1
5	4	3	100	1
5	5	3	100	1
6	0	8	100	1
6	1	7	100	1
6	2	7	100	1
6	3	6	100	1
6	4	3	100	1
6	5	3	100	1
7	0	8	100	1
7	1	4	100	1
7	2	9	100	1
7	3	7	100	1
7	4	4	100	1
7	5	3	100	1
8	0	8	100	1
8	1	4	100	1
8	2	6	100	1
8	3	5	100	1
8	4	4	100	1
8	5	4	100	1
9	0	5	100	1
9	1	4	100	1
9	2	7	100	1
9	3	8	100	1
9	4	4	100	1
9	5	3	100	1
10	0	7	100	1
10	1	2	100	1
10	2	6	100	1
10	3	5	100	1
10	4	4	100	1
10	5	2	100	1
11	0	6	100	1
11	1	2	100	1
11	2	5	100	1
11	3	6	100	1
11	4	3	100	1
11	5	3	100	1
12	0	5	100	1
12	1	4	100	1
12	2	6	100	1
12	3	8	100	1
12	4	3	100	1
12	5	3	100	1
13	0	7	100	1
13	1	3	100	1
13	2	5	100	1
13	3	7	100	1
13	4	2	100	1
13	5	3	100	1
14	0	4	100	1
14	1	4	100	1
14	2	7	100	1
14	3	4	100	1
14	4	3	100	1
14	5	3	100	1
15	0	6	100	1
15	1	3	100	1
15	2	6	100	1
15	3	5	100	1
15	4	3	100	1
15	5	2	100	1
16	0	8	100	1
16	1	5	100	1
16	2	6	100	1
16	3	6	100	1
16	4	3	100	1
16	5	3	100	1
17	0	7	100	1
17	1	4	100	1
17	2	6	100	1
17	3	7	100	1
17	4	2	100	1
17	5	3	100	1
18	0	8	100	1
18	1	4	100	1
18	2	7	100	1
18	3	5	100	1
18	4	3	100	1
18	5	4	100	1
19	0	6	100	1
19	1	2	100	1
19	2	6	100	1
19	3	6	100	1
19	4	3	100	1
19	5	2	100	1
20	0	5	100	1
20	1	4	100	1
20	2	6	100	1
20	3	5	100	1
20	4	3	100	1
20	5	1	100	1
21	0	3	100	1
21	1	4	100	1
21	2	5	100	1
21	3	7	100	1
21	4	3	100	1
21	5	1	100	1
22	0	5	100	1
22	1	3	100	1
22	2	3	100	1
22	3	5	100	1
22	4	3	100	1
22	5	4	100	1
23	0	6	100	1
23	1	3	100	1
23	2	5	100	1
23	3	5	100	1
23	4	4	100	1
23	5	2	100	1
24	0	4	100	1
24	1	3	100	1
24	2	5	100	1
24	3	4	100	1
24	4	3	100	1
24	5	3	100	1
25	0	4	100	1
25	1	3	100	1
25	2	3	100	1
25	3	5	100	1
25	4	2	100	1
25	5	2	100	1
26	0	3	100	1
26	1	4	100	1
26	2	3	100	1
26	3	4	100	1
26	4	2	100	1
26	5	1	100	1
27	0	4	100	1
27	1	3	100	1
27	2	4	100	1
27	3	3	100	1
27	4	1	100	1
27	5	2	100	1
28	0	3	100	1
28	1	3	100	1
28	2	4	100	1
28	3	4	100	1
28	4	2	100	1
28	5	2	100	1
29	0	2	100	1
29	1	2	100	1
29	2	5	100	1
29	3	3	100	1
29	4	1	100	1
29	5	2	100	1
30	0	2	100	1
30	1	2	100	1
30	2	4	100	1
30	3	4	100	1
30	4	1	100	1
30	5	2	100	1
31	0	4	100	1
31	1	3	100	1
31	2	4	100	1
31	3	2	100	1
31	4	1	100	1
31	5	3	100	1
32	0	3	100	1
32	1	1	100	1
32	2	4	100	1
32	3	3	100	1
32	4	1	100	1
32	5	2	100	1
33	0	4	100	1
33	1	1	100	1
33	2	3	100	1
33	3	3	100	1
33	4	3	100	1
33	5	0	100	1
34	0	4	100	1
34	1	2	100	1
34	2	3	100	1
34	3	3	100	1
34	4	2	100	1
34	5	3	100	1
35	0	1	100	1
35	1	3	100	1
35	2	2	100	1
35	3	2	100	1
35	4	2	100	1
35	5	1	100	1
36	0	1	100	1
36	1	0	100	1
36	2	2	100	1
36	3	1	100	1
36	4	1	100	1
36	5	1	100	1
37	0	1	100	1
37	1	0	100	1
37	2	2	100	1
37	3	1	100	1
37	4	0	100	1
37	5	2	100	1
38	0	3	100	1
38	1	2	100	1
38	2	2	100	1
38	3	2	100	1
38	4	1	100	1
38	5	1	100	1
39	0	4	100	1
39	1	0	100	1
39	2	1	100	1
39	3	1	100	1
39	4	3	100	1
39	5	1	100	1
40	0	0	100	1
40	1	1	100	1
40	2	2	100	1
40	3	1	100	1
40	4	0	100	1
40	5	0	100	1
41	0	1	100	1
41	1	1	100	1
41	2	0	100	1
41	3	1	100	1
41	4	1	100	1
41	5	0	100	1
