0	14	42	0	0	3	12960	12240	5	2	2	3
21	0	42	0	4	0	12960	12240	5	2	2	3
21	0	42	0	4	3	12960	12240	5	2	2	3
21	14	42	0	0	3	12960	12240	5	2	2	3
21	0	42	0	4	3	12960	12240	5	2	2	3
0	0	42	21	0	0	12960	12240	5	2	2	3
21	14	42	21	0	0	12960	12240	5	2	2	3
21	0	42	0	4	0	12960	12240	5	2	2	3
21	14	42	21	4	0	12960	12240	5	2	2	3
21	0	42	21	4	3	12960	12240	5	2	2	3
21	14	42	21	0	3	12960	12240	5	2	2	3
21	0	42	0	0	0	12960	12240	5	2	2	3
0	14	42	21	4	3	12960	12240	5	2	2	3
21	0	42	21	0	3	12960	12240	5	2	2	3
21	14	42	21	4	0	12960	12240	5	2	2	3
0	0	42	21	4	0	12960	12240	5	2	2	3
21	14	42	0	0	3	12960	12240	5	2	2	3
21	0	42	0	0	3	12960	12240	5	2	2	3
21	14	42	0	4	0	12960	12240	5	2	2	3
21	14	42	21	0	3	12960	12240	5	2	2	3
21	14	42	21	0	3	12960	12240	5	2	2	3
21	0	42	21	4	3	12960	12240	5	2	2	3
0	14	42	21	0	3	12960	12240	5	2	2	3
0	14	42	21	4	3	12960	12240	5	2	2	3
21	14	42	21	4	0	12960	12240	5	2	2	3
21	0	42	21	0	0	12960	12240	5	2	2	3
21	14	42	0	0	3	12960	12240	5	2	2	3
0	0	42	0	0	0	12960	12240	5	2	2	3
21	0	42	0	4	3	12960	12240	5	2	2	3
0	0	42	0	0	3	12960	12240	5	2	2	3
0	12	42	19	0	0	11640	10920	6	2	3	3
0	12	42	19	0	3	11640	10920	6	2	3	3
19	12	42	19	3	0	11640	10920	6	2	3	3
19	0	42	19	3	3	11640	10920	6	2	3	3
19	12	42	0	0	0	11640	10920	6	2	3	3
19	12	42	0	3	3	11640	10920	6	2	3	3
0	0	42	0	3	0	11640	10920	6	2	3	3
19	12	42	0	0	3	11640	10920	6	2	3	3
0	12	42	0	3	3	11640	10920	6	2	3	3
0	0	42	19	3	3	11640	10920	6	2	3	3
12	8	42	12	2	2	7740	7020	5	2	2	4
0	8	42	12	2	2	7740	7020	5	2	2	4
12	0	42	0	2	2	7740	7020	5	2	2	4
11	7	42	11	2	0	7080	6360	5	1	2	1
0	7	42	0	2	0	7080	6360	5	1	2	1
