回数,計算時間,評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト,人数違反
0,0.094000,7918,0,0,0,0,0,0,0,0,0,147,27,7744,
0,0.314000,4066,0,0,0,0,0,0,0,0,0,127,25,3914,
0,0.317000,4066,0,0,0,0,0,0,0,0,0,127,25,3914,
0,1.414000,2092,0,0,0,0,0,0,0,0,0,73,16,2003,
0,2.507000,2084,0,0,0,0,0,0,0,0,0,69,12,2003,
0,3.604000,2084,0,0,0,0,0,0,0,0,0,69,12,2003,
0,4.698000,2082,0,0,0,0,0,0,0,0,0,56,22,2004,
0,5.792000,1979,0,0,0,0,0,0,0,0,0,60,17,1902,
0,6.881000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,7.966000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,9.056000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,10.147000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,11.242000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,12.331000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,13.421000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,14.511000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,15.600000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,16.693000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,17.798000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,18.889000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,19.984000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,21.081000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,22.173000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,23.274000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,24.364000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,25.460000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,26.565000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,27.693000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,28.803000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,29.931000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,31.053000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,32.182000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,33.281000,1779,0,0,0,0,0,0,0,0,0,57,16,1706,
0,34.385000,1777,0,0,0,0,0,0,0,0,0,52,21,1704,
