0,23,1
0,7,1
0,8,1
1,25,0
1,7,0
1,8,0
1,9,0
2,1,0
2,16,1
2,17,1
2,2,0
2,25,0
2,6,0
2,7,0
2,8,0
3,10,0
3,11,0
3,19,0
3,20,0
3,21,0
3,7,0
3,8,0
3,9,0
4,2,0
4,3,0
4,4,0
4,5,0
5,14,1
5,15,1
5,20,1
6,17,1
6,18,1
6,6,1
6,7,1
6,8,1
6,9,1
7,13,0
8,0,0
8,1,0
8,10,1
8,11,1
8,12,1
8,13,1
8,2,0
8,21,0
8,22,0
8,23,0
3,15,1
6,23,0
6,24,1
6,27,0
7,0,1
7,4,0
7,5,1
7,6,1
7,7,1
7,8,1
3,16,1
7,12,0
7,14,0
7,15,0
7,16,0
7,21,1
7,22,1
7,23,1
7,24,1
7,25,1
8,5,1
8,6,1
8,16,0
8,17,0
8,18,0
8,24,0
8,25,1
9,0,1
9,1,1
9,2,1
9,3,1
9,4,1
9,8,0
9,9,0
9,10,0
9,11,0
9,15,0
9,16,0
9,17,0
9,18,1
9,19,1
9,22,0
9,23,0
9,26,0
9,27,0
0,2,1
0,3,1
0,4,1
3,24,0
0,11,0
0,12,1
0,13,1
0,14,1
0,15,1
0,18,0
0,19,0
0,20,1
3,25,0
0,24,1
0,25,1
1,0,0
1,1,0
1,2,0
1,3,0
3,26,0
1,12,0
1,13,0
1,14,0
3,27,0
1,15,0
1,19,0
1,20,0
1,23,0
1,24,0
2,5,0
2,11,0
2,12,1
2,15,0
2,18,1
2,21,0
2,22,0
2,23,0
2,24,0
3,3,1
3,4,1
3,14,1
4,6,0
4,10,1
4,11,1
4,14,0
4,15,0
4,16,0
4,17,0
4,21,1
4,22,1
4,25,0
4,26,0
4,27,0
5,0,1
5,1,1
5,2,1
5,9,1
5,10,1
5,11,1
5,16,1
5,19,1
5,23,1
5,24,1
5,25,1
5,26,1
5,27,1
6,1,1
6,2,1
6,5,1
6,14,1
6,15,1
6,16,1
6,21,0
6,22,0
