,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
0,18,2,9,11,15,18,18,13,15,18,18,12,12,12,12,12,18,18,18,5,8,12,12,11,18,18,18,18,2,0,0,0,0,0,0,0,0,0,2,0,
1,7,12,10,18,18,18,18,10,11,10,18,18,1,6,11,14,18,18,8,7,6,18,18,1,1,17,18,18,8,0,0,0,0,0,0,0,0,0,8,0,
2,18,4,13,15,18,18,18,15,16,18,18,4,15,17,18,18,7,7,4,18,18,18,18,7,11,18,18,13,3,0,0,0,0,0,0,0,0,0,3,0,
3,18,6,8,7,14,18,18,3,2,14,12,18,18,9,13,13,13,18,18,7,6,18,18,18,18,18,18,18,3,0,0,0,0,0,0,0,0,0,3,0,
4,18,14,11,14,18,18,18,9,12,18,18,7,12,11,15,17,18,18,18,5,8,15,18,18,12,16,18,18,10,0,0,0,0,0,0,0,0,0,10,0,
5,5,18,18,1,9,18,18,14,11,13,11,18,18,18,18,18,18,18,12,11,11,18,18,2,1,2,16,16,12,0,0,0,0,0,0,0,0,0,12,0,
6,5,18,18,18,18,1,2,1,17,16,18,18,10,11,18,18,11,11,17,18,18,8,12,11,12,10,18,18,6,0,0,0,0,0,0,0,0,0,6,0,
7,14,18,18,3,2,5,9,14,18,18,12,13,18,18,14,10,18,18,18,18,18,18,18,3,2,1,3,2,8,0,0,0,0,0,0,0,0,0,8,0,
8,18,0,5,6,4,18,18,1,4,18,18,18,6,6,18,18,6,15,15,18,18,1,4,10,18,18,10,10,7,0,0,0,0,0,0,0,0,0,7,0,
9,14,11,14,18,18,18,18,7,7,18,18,5,9,11,11,11,18,18,2,1,2,14,18,18,1,0,18,18,10,0,0,0,0,0,0,0,0,0,10,0,
10,9,18,18,18,13,13,13,16,16,18,18,18,18,18,18,2,6,9,11,18,18,7,5,18,18,10,10,10,6,0,0,0,0,0,0,0,0,0,6,0,
11,6,18,18,0,4,18,18,2,4,15,18,18,3,7,18,18,2,0,6,18,18,6,6,13,13,18,18,3,15,0,0,0,0,0,0,0,0,0,15,0,
12,15,18,18,18,6,6,8,18,18,3,10,11,18,18,1,9,18,18,2,1,8,9,18,18,9,13,18,18,1,0,0,0,0,0,0,0,0,0,1,0,
13,18,18,18,18,12,12,10,16,18,18,18,0,10,18,18,17,16,15,15,18,18,7,6,6,4,17,18,18,2,0,0,0,0,0,0,0,0,0,2,0,
14,18,18,2,2,5,18,18,9,16,18,18,18,6,6,14,18,18,12,12,13,16,18,18,2,0,3,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
15,12,10,18,18,8,8,9,10,18,18,2,7,18,18,18,7,14,10,10,18,18,12,11,18,18,18,6,8,4,0,0,0,0,0,0,0,0,0,4,0,
16,18,3,7,10,18,18,18,8,5,18,18,18,3,6,6,5,17,18,18,6,7,13,18,18,7,5,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
17,15,17,18,18,18,13,15,18,18,12,11,14,16,18,18,1,14,12,12,18,18,18,14,11,16,18,18,18,4,0,0,0,0,0,0,0,0,0,4,0,
18,16,18,18,12,12,18,18,18,18,5,9,18,18,18,18,8,13,18,18,1,3,14,11,14,18,18,1,7,8,0,0,0,0,0,0,0,0,0,8,0,
19,0,12,14,12,10,18,18,18,18,5,14,16,15,16,18,18,18,18,0,0,0,5,18,18,1,14,18,18,3,0,0,0,0,0,0,0,0,0,3,0,
20,8,13,18,18,2,1,1,18,18,9,16,18,18,18,12,13,18,18,1,4,18,18,13,11,12,11,18,18,3,0,0,0,0,0,0,0,0,0,3,0,
21,0,16,18,18,18,2,0,6,6,6,18,18,2,9,18,18,10,13,17,18,18,18,0,10,10,16,18,18,6,0,0,0,0,0,0,0,0,0,6,0,
22,18,18,7,7,7,7,4,18,18,7,4,13,18,18,4,12,18,18,7,13,14,18,18,6,17,18,18,18,13,0,0,0,0,0,0,0,0,0,13,0,
23,1,18,18,5,9,18,18,3,12,11,18,18,11,13,16,15,15,18,18,18,18,11,12,18,18,12,11,15,8,0,0,0,0,0,0,0,0,0,8,0,
24,18,2,4,13,18,18,18,12,13,13,18,18,2,3,18,18,3,0,12,10,18,18,8,9,11,18,18,18,5,0,0,0,0,0,0,0,0,0,5,0,
25,8,8,16,18,18,0,3,7,13,11,18,18,18,18,18,1,7,18,18,18,18,1,8,7,13,18,18,14,11,0,0,0,0,0,0,0,0,0,11,0,
26,6,18,18,18,18,18,18,13,11,17,15,18,18,1,9,18,18,8,15,18,18,17,16,16,18,18,6,9,8,0,0,0,0,0,0,0,0,0,8,0,
27,1,12,17,18,18,18,18,2,12,12,14,10,18,18,18,18,18,18,1,0,4,18,18,18,2,8,16,16,4,0,0,0,0,0,0,0,0,0,4,0,
28,17,18,18,3,7,18,18,15,16,18,18,12,14,12,18,18,9,12,18,18,6,15,18,18,6,17,18,18,7,0,0,0,0,0,0,0,0,0,7,0,
29,6,9,16,18,18,9,10,10,18,18,3,3,6,10,18,18,0,1,5,18,18,18,7,12,18,18,18,18,6,0,0,0,0,0,0,0,0,0,6,0,
30,11,11,11,17,18,18,18,18,0,1,2,2,18,18,0,1,1,18,18,12,11,15,15,18,18,18,12,15,1,0,0,0,0,0,0,0,0,0,1,0,
31,18,18,18,18,18,3,1,18,18,2,2,2,18,18,8,8,7,4,16,18,18,2,7,9,18,18,3,3,2,0,0,0,0,0,0,0,0,0,2,0,
32,18,5,12,12,12,18,18,0,0,0,1,1,18,18,7,13,18,18,11,11,18,18,18,4,10,18,18,1,6,0,0,0,0,0,0,0,0,0,6,0,
33,4,14,17,18,18,14,16,18,18,18,18,18,18,18,0,14,12,15,16,18,18,5,9,12,18,18,18,0,12,0,0,0,0,0,0,0,0,0,12,0,
34,18,8,8,5,18,18,1,6,6,15,17,18,18,1,11,18,18,8,11,18,18,1,0,17,16,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
35,0,3,5,18,18,5,7,7,18,18,17,16,18,18,11,16,18,18,7,7,7,18,18,18,11,13,18,18,8,0,0,0,0,0,0,0,0,0,8,0,
36,7,7,15,15,17,18,18,5,11,12,17,18,18,5,7,18,18,18,18,0,2,12,11,10,18,18,18,18,5,0,0,0,0,0,0,0,0,0,5,0,
37,18,18,2,4,15,18,18,18,18,0,2,8,7,7,18,18,8,16,18,18,18,0,1,15,18,18,8,8,10,0,0,0,0,0,0,0,0,0,10,0,
38,18,0,2,11,18,18,18,2,7,16,18,18,3,0,2,0,15,18,18,18,18,10,10,13,18,18,7,13,6,0,0,0,0,0,0,0,0,0,6,0,
39,4,18,18,12,12,12,12,12,18,18,3,2,18,18,7,11,18,18,13,12,10,16,18,18,3,9,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
40,10,10,18,18,18,18,18,18,18,13,14,12,12,13,18,18,11,11,14,10,18,18,8,8,8,8,18,18,7,0,0,0,0,0,0,0,0,0,7,0,
41,18,18,18,8,5,9,13,11,18,18,9,10,18,18,18,10,11,10,10,18,18,0,5,18,18,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,
42,0,0,0,0,0,18,18,1,15,18,18,7,7,10,18,18,0,1,1,18,18,1,5,18,18,18,4,12,1,0,0,0,0,0,0,0,0,0,1,0,
43,9,15,18,18,7,9,18,18,7,10,10,18,18,1,0,6,5,6,18,18,18,0,0,7,10,12,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
44,17,18,18,0,0,18,18,18,3,10,18,18,0,0,4,15,18,18,0,7,12,15,18,18,0,4,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
45,18,4,13,14,15,18,18,18,18,18,8,6,8,8,8,18,18,18,0,8,8,15,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,18,0,
46,12,18,18,9,11,11,12,12,18,18,5,6,18,18,15,15,16,16,18,18,18,18,18,18,1,1,11,12,9,0,0,0,0,0,0,0,0,0,9,0,
47,5,18,18,7,4,18,18,6,10,10,18,18,18,18,4,10,18,18,18,2,0,17,18,18,18,3,10,12,5,0,0,0,0,0,0,0,0,0,5,0,
48,18,18,18,7,5,7,7,16,18,18,0,0,18,18,6,14,18,18,2,2,3,13,18,18,5,13,18,18,3,0,0,0,0,0,0,0,0,0,3,0,
49,7,5,13,10,10,18,18,18,3,9,18,18,3,7,16,16,18,18,18,5,5,5,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
50,8,5,4,18,18,2,15,18,18,15,15,18,18,12,17,18,18,0,2,18,18,18,2,3,7,16,18,18,6,0,0,0,0,0,0,0,0,0,6,0,
51,18,18,5,6,9,11,15,18,18,2,6,9,18,18,5,9,13,18,18,18,18,18,18,5,5,7,11,18,0,0,0,0,0,0,0,0,0,0,0,0,
52,18,18,18,18,18,7,12,18,18,8,8,14,18,18,1,4,10,14,12,18,18,1,9,18,18,18,8,8,12,0,0,0,0,0,0,0,0,0,12,0,
53,18,18,0,17,16,18,18,4,15,18,18,5,15,15,18,18,2,2,2,18,18,18,18,18,5,5,14,16,4,0,0,0,0,0,0,0,0,0,4,0,
54,11,11,11,11,11,18,18,18,18,2,1,2,18,18,7,7,9,18,18,6,6,18,18,18,18,6,13,11,0,0,0,0,0,0,0,0,0,0,0,0,
55,13,13,17,15,18,18,18,18,0,11,11,17,15,18,18,4,10,10,10,18,18,18,18,18,18,18,7,5,12,0,0,0,0,0,0,0,0,0,12,0,
56,0,18,18,4,12,18,18,1,10,13,13,18,18,18,18,7,16,15,18,18,7,11,16,18,18,18,3,0,4,0,0,0,0,0,0,0,0,0,4,0,
57,18,18,4,12,14,18,18,18,18,7,7,9,16,18,18,1,0,16,18,18,18,11,12,18,18,0,0,6,15,0,0,0,0,0,0,0,0,0,15,0,
58,18,2,2,17,18,18,18,3,17,18,18,18,18,18,2,8,18,18,18,3,15,16,16,15,18,18,11,12,11,0,0,0,0,0,0,0,0,0,11,0,
59,3,2,6,13,11,18,18,18,18,6,5,18,18,18,18,7,6,17,15,16,18,18,18,18,3,9,12,18,2,0,0,0,0,0,0,0,0,0,2,0,
60,12,12,18,18,1,1,3,0,18,18,18,1,1,0,12,18,18,12,12,18,18,8,8,8,12,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
61,2,1,9,16,18,18,18,18,18,17,16,18,18,2,2,18,18,11,11,11,17,18,18,2,9,18,18,18,11,0,0,0,0,0,0,0,0,0,11,0,
62,18,18,2,2,16,18,18,8,8,8,18,18,18,7,17,18,18,18,8,17,16,18,18,4,12,10,18,18,3,0,0,0,0,0,0,0,0,0,3,0,
63,18,18,7,14,10,10,18,18,7,14,11,13,18,18,18,5,10,15,18,18,18,6,4,18,18,18,0,6,4,0,0,0,0,0,0,0,0,0,4,0,
64,17,18,18,18,10,11,11,18,18,5,7,16,18,18,1,11,12,11,18,18,18,7,10,18,18,18,15,15,3,0,0,0,0,0,0,0,0,0,3,0,
65,2,14,12,10,18,18,18,18,18,2,6,6,4,15,18,18,4,16,18,18,18,6,15,18,18,18,5,6,13,0,0,0,0,0,0,0,0,0,13,0,
66,18,18,3,2,1,7,6,18,18,2,15,15,18,18,1,0,7,18,18,2,0,6,17,18,18,18,18,18,9,0,0,0,0,0,0,0,0,0,9,0,
67,10,17,18,18,1,6,8,5,11,18,18,3,8,5,18,18,3,5,8,18,18,18,18,10,11,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
68,8,5,14,17,16,18,18,11,10,17,18,18,0,5,5,10,18,18,18,18,18,18,18,18,18,18,5,9,12,0,0,0,0,0,0,0,0,0,12,0,
69,7,18,18,9,16,18,18,18,5,7,5,18,18,18,3,7,17,18,18,8,8,17,18,18,18,18,1,3,8,0,0,0,0,0,0,0,0,0,8,0,
70,3,18,18,3,7,18,18,7,9,13,14,18,18,18,18,18,18,18,10,10,10,10,18,18,18,15,15,15,2,0,0,0,0,0,0,0,0,0,2,0,
71,18,6,9,18,18,18,18,7,6,18,18,9,16,15,18,18,3,3,3,3,3,18,18,6,16,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
72,16,18,18,18,14,10,14,17,18,18,5,5,4,16,18,18,14,15,15,18,18,18,10,15,18,18,18,18,6,0,0,0,0,0,0,0,0,0,6,0,
73,18,8,7,8,18,18,18,18,18,1,3,7,7,17,18,18,2,1,18,18,18,18,18,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,2,0,
74,18,4,11,12,17,18,18,18,18,7,7,8,16,18,18,18,1,2,5,18,18,18,11,12,14,18,18,5,0,0,0,0,0,0,0,0,0,0,0,0,
75,18,5,10,10,18,18,18,18,9,12,12,10,18,18,18,18,18,5,8,8,5,10,18,18,18,4,17,18,8,0,0,0,0,0,0,0,0,0,8,0,
76,6,13,14,18,18,1,6,14,18,18,18,3,0,3,5,18,18,0,6,18,18,18,2,1,13,18,18,18,2,0,0,0,0,0,0,0,0,0,2,0,
77,18,18,6,10,11,12,10,18,18,6,4,18,18,18,3,3,0,0,18,18,18,12,10,18,18,18,7,6,12,0,0,0,0,0,0,0,0,0,12,0,
78,4,10,18,18,18,18,18,0,6,4,11,15,18,18,18,18,0,5,13,13,12,18,18,0,11,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,18,18,18,8,8,18,18,2,14,18,18,4,10,16,16,15,18,18,2,1,1,18,18,1,15,18,18,18,3,0,0,0,0,0,0,0,0,0,3,0,
80,10,18,18,18,3,3,5,18,18,18,6,15,18,18,18,7,8,11,10,18,18,2,3,18,18,3,7,8,6,0,0,0,0,0,0,0,0,0,6,0,
81,18,1,3,18,18,6,11,15,17,16,18,18,4,16,18,18,0,9,17,18,18,18,18,18,0,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
82,18,18,0,10,18,18,18,6,12,14,10,17,18,18,18,18,1,0,18,18,13,13,10,13,18,18,6,13,4,0,0,0,0,0,0,0,0,0,4,0,
83,1,6,15,15,16,18,18,18,1,0,0,0,18,18,18,3,7,7,7,18,18,18,18,18,18,7,6,9,2,0,0,0,0,0,0,0,0,0,2,0,
84,18,3,1,2,0,18,18,18,18,18,18,1,1,2,0,0,18,18,1,9,13,14,18,18,1,1,18,18,1,0,0,0,0,0,0,0,0,0,1,0,
85,11,11,11,18,18,2,2,10,18,18,6,11,18,18,10,11,17,18,18,18,18,18,13,17,18,18,13,11,2,0,0,0,0,0,0,0,0,0,2,0,
86,18,1,6,6,18,18,2,3,1,4,14,18,18,18,11,14,18,18,18,18,18,18,2,1,18,18,12,17,10,0,0,0,0,0,0,0,0,0,10,0,
87,1,9,15,15,18,18,18,18,18,4,10,18,18,18,18,18,18,18,6,9,14,10,18,18,7,7,9,11,5,0,0,0,0,0,0,0,0,0,5,0,
88,18,18,1,0,13,18,18,3,3,3,18,18,5,5,4,15,18,18,3,11,11,15,15,18,18,18,18,18,2,0,0,0,0,0,0,0,0,0,2,0,
89,11,16,18,18,1,10,15,15,18,18,12,11,18,18,0,12,11,18,18,18,2,2,1,5,4,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,
90,13,18,18,18,3,3,7,5,14,18,18,18,6,6,6,6,8,9,18,18,18,5,5,6,7,18,18,18,2,0,0,0,0,0,0,0,0,0,2,0,
91,18,6,13,11,13,14,18,18,18,11,11,11,11,12,18,18,18,8,11,18,18,18,5,8,8,8,18,18,6,0,0,0,0,0,0,0,0,0,6,0,
