回数,計算時間,評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト,人数違反
0,0.014000,1486,0,0,0,0,0,0,0,0,0,284,0,1202,
0,7.408000,26155,0,0,0,0,0,0,0,0,0,918,12,25225,
0,7.423000,26054,0,0,0,0,0,0,0,0,0,918,12,25124,
0,11.011000,10968,0,0,0,0,0,0,0,0,0,836,6,10126,
0,14.594000,9236,0,0,0,0,0,0,0,0,0,814,6,8416,
0,18.202000,8595,0,0,0,0,0,0,0,0,0,783,4,7808,
0,21.799000,7963,0,0,0,0,0,0,0,0,0,747,2,7214,
0,25.392000,7944,0,0,0,0,0,0,0,0,0,735,1,7208,
0,28.971000,7940,0,0,0,0,0,0,0,0,0,728,1,7211,
0,32.558000,7737,0,0,0,0,0,0,0,0,0,721,2,7014,
0,36.145000,7519,0,0,0,0,0,0,0,0,0,704,2,6813,
0,39.750000,7411,0,0,0,0,0,0,0,0,0,697,2,6712,
0,43.337000,7197,0,0,0,0,0,0,0,0,0,689,1,6507,
0,46.922000,7197,0,0,0,0,0,0,0,0,0,689,1,6507,
0,50.521000,7095,0,0,0,0,0,0,0,0,0,685,0,6410,
0,54.118000,6993,0,0,0,0,0,0,0,0,0,684,0,6309,
0,57.698000,6887,0,0,0,0,0,0,0,0,0,677,0,6210,
0,61.323000,6887,0,0,0,0,0,0,0,0,0,677,0,6210,
0,64.915000,6887,0,0,0,0,0,0,0,0,0,677,0,6210,
0,68.563000,6887,0,0,0,0,0,0,0,0,0,677,0,6210,
0,72.167000,6786,0,0,0,0,0,0,0,0,0,682,2,6102,
0,75.764000,6786,0,0,0,0,0,0,0,0,0,682,2,6102,
0,79.366000,6786,0,0,0,0,0,0,0,0,0,682,2,6102,
0,82.952000,6786,0,0,0,0,0,0,0,0,0,682,2,6102,
0,86.546000,6462,0,0,0,0,0,0,0,0,0,655,0,5807,
0,90.161000,6462,0,0,0,0,0,0,0,0,0,655,0,5807,
0,93.753000,6462,0,0,0,0,0,0,0,0,0,655,0,5807,
0,97.334000,6462,0,0,0,0,0,0,0,0,0,655,0,5807,
0,100.924000,6462,0,0,0,0,0,0,0,0,0,655,0,5807,
0,104.501000,6462,0,0,0,0,0,0,0,0,0,655,0,5807,
0,108.093000,6462,0,0,0,0,0,0,0,0,0,655,0,5807,
0,111.680000,6462,0,0,0,0,0,0,0,0,0,655,0,5807,
0,115.311000,6462,0,0,0,0,0,0,0,0,0,655,0,5807,
0,118.932000,6462,0,0,0,0,0,0,0,0,0,655,0,5807,
0,122.516000,6462,0,0,0,0,0,0,0,0,0,655,0,5807,
0,126.101000,6462,0,0,0,0,0,0,0,0,0,655,0,5807,
0,129.708000,6462,0,0,0,0,0,0,0,0,0,655,0,5807,
0,133.301000,6462,0,0,0,0,0,0,0,0,0,655,0,5807,
0,136.885000,6432,0,0,0,0,0,0,0,0,0,625,0,5807,
0,140.459000,6331,0,0,0,0,0,0,0,0,0,626,0,5705,
0,144.039000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,147.635000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,151.214000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,154.788000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,158.382000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,161.988000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,165.619000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,169.217000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,172.819000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,176.430000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,180.016000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,183.593000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,187.169000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,190.759000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,194.359000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,197.936000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,201.511000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,204.037000,6014,0,0,0,0,0,0,0,0,0,609,0,5405,
0,206.055000,6010,0,0,0,0,0,0,0,0,0,606,0,5404,
0,206.066000,6010,0,0,0,0,0,0,0,0,0,606,0,5404,
0,206.068000,6010,0,0,0,0,0,0,0,0,0,606,0,5404,
