0	24
26	27
9	10
21	22
9	10
21	22
1	2
2	16
14	24
22	23
2	3
14	15
16	22
3	14
10	11
20	24
10	11
7	8
11	12
7	8
26	27
2	3
16	17
23	24
14	25
14	25
11	12
3	13
1	9
14	24
7	25
0	13
0	20
7	10
11	12
21	22
15	25
0	20
4	25
9	13
4	5
8	24
10	20
11	26
1	27
22	27
1	2
10	23
16	17
16	24
20	21
7	8
7	8
0	1
7	17
19	20
5	11
6	7
6	10
20	21
8	9
25	26
1	22
0	6
3	24
18	24
18	23
14	15
22	23
6	7
15	16
14	15
14	27
14	15
13	14
22	23
15	16
7	23
25	26
10	17
1	7
22	23
19	24
23	24
0	9
9	18
4	16
13	14
0	24
8	12
2	3
15	20
3	4
18	19
3	4
13	14
15	16
22	23
25	26
6	7
17	18
17	23
12	15
25	26
11	26
15	16
15	16
5	6
6	24
4	5
9	19
5	14
2	5
8	17
1	24
4	5
3	13
6	13
23	26
7	8
