0	3	11	1
0	4	11	1
0	5	11	1
0	11	12	3
0	12	12	3
0	13	12	3
0	14	12	3
1	1	11	2
1	7	10	3
1	8	10	3
1	9	10	3
1	20	1	1
1	21	1	1
1	22	1	1
1	23	1	1
2	11	0	1
2	12	0	1
2	13	0	1
3	14	13	3
3	15	13	3
3	16	13	3
3	17	13	3
4	1	14	3
4	2	14	3
4	3	14	3
4	4	14	3
4	12	12	1
4	18	9	1
4	19	9	1
4	27	10	2
5	5	14	3
5	6	14	3
5	7	14	3
5	13	9	2
5	14	9	2
5	15	9	2
6	7	1	2
6	8	1	2
6	14	11	2
6	15	11	2
6	16	11	2
6	17	11	2
7	4	9	2
7	5	9	2
7	6	9	2
7	7	9	2
7	8	9	2
8	2	5	1
8	3	5	1
8	4	5	1
8	5	5	1
8	6	5	1
8	21	4	3
8	22	4	3
9	0	14	2
9	1	14	2
9	2	14	2
9	3	14	2
9	4	14	2
9	11	11	2
9	12	11	2
9	13	11	2
9	14	11	2
9	18	2	3
10	4	13	3
10	5	13	3
10	12	13	1
10	13	13	1
10	14	13	1
10	19	7	3
10	25	10	3
10	26	10	3
10	27	10	3
11	1	5	2
11	2	5	2
11	6	2	2
11	7	2	2
11	11	8	3
11	18	6	3
11	19	6	3
11	20	6	3
11	21	6	3
11	22	6	3
12	3	5	1
13	5	4	1
13	6	4	1
14	17	12	1
14	18	12	1
15	3	11	2
15	4	11	2
16	13	6	1
16	14	6	1
17	1	17	2
17	2	17	2
17	3	17	2
17	17	12	1
17	18	12	1
18	3	12	1
18	4	12	1
18	5	12	1
18	6	12	1
18	21	14	3
18	22	14	3
18	23	14	3
18	24	14	3
19	9	14	1
19	10	14	1
19	11	14	1
19	12	14	1
20	13	16	3
20	19	4	2
21	7	6	2
21	8	6	2
21	9	6	2
21	14	13	2
21	15	13	2
21	16	13	2
21	17	13	2
22	3	7	1
22	4	7	1
22	12	0	1
22	19	14	2
22	20	14	2
22	21	14	2
22	22	14	2
22	26	7	3
22	27	7	3
23	7	12	1
23	8	12	1
23	15	13	3
23	19	8	2
23	20	8	2
24	7	13	2
24	8	13	2
24	9	13	2
24	15	10	3
25	9	0	2
25	10	0	2
25	11	0	2
25	12	0	2
25	19	10	1
25	20	10	1
25	21	10	1
26	0	6	3
26	14	9	2
26	15	9	2
26	22	16	3
26	23	16	3
26	24	16	3
26	25	16	3
27	16	4	1
27	17	4	1
