480	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
480	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
480	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
720	0	1	2	3	4	5	6	7	8	9	-1	-1	-1	-1	-1	-1
480	0	1	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
480	0	1	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
480	0	1	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
600	0	1	2	3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
720	0	1	2	3	4	5	6	7	8	9	-1	-1	-1	-1	-1	-1
480	0	1	2	3	4	5	6	7	8	9	-1	-1	-1	-1	-1	-1
480	0	1	2	3	4	5	6	7	8	9	-1	-1	-1	-1	-1	-1
480	0	1	2	3	4	5	6	7	8	9	-1	-1	-1	-1	-1	-1
600	0	1	2	3	4	5	6	7	8	9	-1	-1	-1	-1	-1	-1
720	0	1	2	3	4	5	6	7	8	9	13	14	-1	-1	-1	-1
480	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	-1
600	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	17
720	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	17
