,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
0,D,D,D,D,D,─,─,D,D,D,─,─,e2,D,─,─,e2,D,D,─,─,e2,n2,─,─,─,─,─,e2,n2,─,─,e2,D,n2,─,─,─,─,─,─,e2,10,0,0,0,0,0,0,0,0,0,8,2,
1,D,n1,─,─,─,D,e1,─,─,e1,D,e1,n1,─,─,e1,D,e1,e1,e1,─,─,e1,D,n1,n1,─,─,─,D,e1,e1,e1,─,─,─,e1,e1,D,D,─,─,13,0,0,0,0,0,0,0,0,0,13,0,
2,─,D,e1,e1,D,e1,─,─,e1,e1,D,n1,─,─,D,e1,e1,D,n2,─,─,─,e1,n2,n1,n1,─,─,─,e1,D,D,n2,n1,─,─,─,─,─,─,─,─,16,0,0,0,0,0,0,0,0,0,16,0,
3,e2,D,e1,e2,n2,─,─,─,─,e2,e1,e2,e1,─,─,e2,n2,─,─,e1,e2,e1,─,─,e1,e1,e2,─,─,─,─,e1,e1,─,─,─,e2,D,─,─,─,─,11,0,0,0,0,0,0,0,0,0,11,0,
4,e1,D,D,D,n2,─,─,e1,e1,e1,n1,─,─,e1,e1,e1,e1,n2,─,─,─,e1,e1,n1,─,─,D,D,n2,─,─,─,─,─,─,D,n1,─,─,─,─,n1,6,0,0,0,0,0,0,0,0,0,6,0,
5,L,─,─,D,D,D,D,D,─,─,─,─,─,─,L,L,L,L,L,─,─,L,L,L,L,L,─,─,L,L,L,L,L,─,─,─,─,D,D,D,L,L,12,0,0,0,0,0,0,0,0,0,6,6,
6,e2,e1,e2,─,─,e2,e1,e1,e1,L,─,─,─,─,e1,e2,e1,L,─,─,e2,L,L,L,─,─,─,─,e2,D,─,─,─,e1,e2,─,─,─,e1,e1,─,─,6,0,0,0,0,0,0,0,0,0,6,0,
7,e1,e1,D,e1,e1,─,─,─,─,D,e1,D,D,e1,─,─,D,n1,n1,n1,n1,─,─,D,D,D,─,─,─,─,─,D,D,e1,D,e1,─,─,e1,e1,─,─,0,0,0,0,0,0,0,0,0,0,0,0,
8,n1,n1,n1,─,─,e1,e2,─,─,e2,e1,L,─,─,e2,D,n1,─,─,L,L,L,─,─,e1,e2,─,─,e1,e1,─,─,─,e2,e1,─,─,e1,L,─,─,─,7,0,0,0,0,0,0,0,0,0,7,0,
9,n1,─,─,e1,e1,e1,e1,n1,─,─,D,D,─,─,D,e1,n1,─,─,n2,n1,─,─,─,D,n2,─,─,e1,D,e1,n2,─,─,─,e1,e1,─,─,D,e1,─,2,0,0,0,0,0,0,0,0,0,2,0,
10,D,L,n2,─,─,e1,e1,e1,e2,L,─,─,e1,e2,─,─,─,─,─,─,─,e1,e2,e1,e1,e2,─,─,─,e2,L,n2,─,─,e2,D,n2,─,─,─,─,─,4,0,0,0,0,0,0,0,0,0,4,0,
11,D,e1,─,─,e1,D,D,─,─,e1,e1,e1,─,─,D,D,D,─,─,D,D,D,D,─,─,e1,D,D,e1,─,─,D,D,─,─,D,e1,e1,D,e1,─,─,6,0,0,0,0,0,0,0,0,0,6,0,
12,L,─,─,e2,L,L,L,n2,─,─,─,─,─,─,e2,L,L,n1,─,─,e2,n2,n1,n1,n1,─,─,e2,n2,─,─,D,L,─,─,─,D,L,─,─,─,─,19,0,0,0,0,0,0,0,0,0,19,0,
13,n2,─,─,D,D,D,D,L,─,─,L,n2,─,─,─,─,e1,e1,e1,e1,e1,─,─,e1,D,e1,─,─,e1,e1,D,n2,─,─,─,─,─,D,e1,D,D,─,4,0,0,0,0,0,0,0,0,0,4,0,
14,e2,e1,n1,─,─,e1,e2,e1,n1,n1,─,─,e2,D,─,─,e2,e1,e1,─,─,─,e2,e1,e2,D,L,─,─,─,─,e2,L,─,─,e1,e2,─,─,─,─,─,15,0,0,0,0,0,0,0,0,0,15,0,
15,L,L,L,L,L,─,─,L,L,L,─,─,D,L,L,n1,n1,─,─,L,L,L,L,─,─,L,n1,n1,─,─,L,L,─,─,─,─,D,D,D,─,─,─,6,0,0,0,0,0,0,0,0,0,6,0,
