,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
A,p5,n5,n1,n5,n2,─,─,s3,p5,─,─,p3,p6,p3,p6,─,─,n2,n1,n5,n5,─,─,─,─,─,n2,n2,n1,n5,─,─,n1,n1,n1,n2,─,─,n5,n5,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,n4,n5,─,─,d6,d7,p2,n1,─,─,n2,n1,n4,n2,─,─,n2,n2,n4,─,─,─,─,─,─,s3,n1,─,─,p6,n1,─,─,a2,n4,─,─,p6,p6,n4,─,─,p2,p3,n4,n2,n5,─,─,n4,n5,n2,n1,n5,─,─,d7,n4,n1,─,─,d6,p2,p1,p5,─,─,n1,n5,n4,─,─,p3,n1,n5,n5,n1,─,─,p5,n5,n2,─,─,n2,n1,─,─,n1,n4,─,─,p6,n5,n1,─,─,n4,n2,n1,n4,─,─,n4,n2,n2,n1,n4,─,─,d7,n1,n2,n5,n2,─,─,─,n5,n5,n4,n2,n1,─,─,─,p1,n4,n1,n2,n5,─,─,a5,a5,a5,a5,a5,─,─,p5,p5,p2,p5,n4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,p1,p1,n2,n1,─,─,─,n2,n4,n2,n2,n1,─,─,d7,d6,d1,d1,p6,─,─,─,─,─,─,n4,n4,─,─,p3,n4,n5,n5,─,─,n4,n5,n1,n2,─,─,p2,p4,n2,─,─,d1,n1,n4,n2,─,─,p3,n4,n5,n5,n4,─,─,n1,n4,─,─,n4,n1,n4,n4,n5,─,─,d7,n2,n1,n5,n2,─,─,p6,n2,n5,n1,n4,─,─,n5,n5,n2,n4,n4,─,─,n4,n5,─,─,n2,n1,n1,n4,─,─,n5,n4,n4,n4,─,─,n1,n4,n2,n4,─,─,n5,n1,n4,n1,─,─,p2,n2,n4,n4,n1,─,─,d7,n1,n5,─,─,p6,n2,─,─,p1,n5,─,─,d6,d6,d6,─,─,n5,n4,n2,95,0,0,0,0,0,0,0,0,0,95,0,
B,d2,d1,d6,d6,p3,─,─,p6,p6,─,─,d6,s1,s1,n4,─,─,p6,p3,─,─,d3,n2,─,─,p3,p1,p1,─,─,─,─,─,─,─,d6,d1,p6,n2,n4,─,─,d6,d6,d6,n2,n2,─,─,a6,p6,p6,n4,─,─,─,─,─,─,─,p6,p6,─,─,n2,n2,─,─,d6,p3,p6,n4,n4,─,─,─,─,d6,d6,─,─,d2,d3,n4,─,─,n4,n2,n4,─,─,n4,n2,─,─,d2,p3,p6,─,─,d3,n2,n4,─,─,s1,p3,n2,n4,n4,─,─,p3,p1,─,─,p3,n2,─,─,p6,p6,p6,p1,─,─,n2,n4,─,─,p1,p1,n4,n4,n4,─,─,─,─,─,─,p1,p1,n2,n4,n2,─,─,p3,p6,p1,p1,─,─,n4,n6,n2,n4,n2,─,─,p3,p3,p1,─,─,p3,p1,p6,─,─,p6,p1,p1,p6,n4,─,─,─,─,─,─,d6,d2,p3,p1,─,─,p3,n2,─,─,n4,n4,─,─,p6,n4,n2,n4,n2,─,─,n4,n4,n4,n2,n2,─,─,d1,d1,d1,p3,p1,─,─,p3,p3,p1,─,─,a6,s1,p6,─,─,a6,n4,─,─,─,─,d3,p6,p3,p6,n4,─,─,a5,p1,p6,n2,n4,─,─,n2,n4,n4,─,─,n4,n4,n4,n2,─,─,d3,p3,p6,p6,n4,─,─,d6,n3,n2,n2,n4,─,─,n4,n4,n4,n2,n4,─,─,d3,d3,d3,p4,n4,─,─,─,─,─,─,─,p6,p3,p1,─,─,p6,p6,n4,─,─,a1,p3,─,─,p6,n4,─,─,d6,p3,p3,─,─,p6,p4,p1,p6,─,─,p6,p7,─,─,p3,n2,─,─,s1,n2,n4,─,─,p1,p6,─,─,n3,n4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,p4,p1,p6,n2,n2,56,0,0,0,0,0,0,0,0,0,56,0,
C,d8,p5,p5,p3,p5,─,─,─,─,─,─,─,─,─,─,─,─,─,─,d8,p3,n2,n1,─,─,n4,n1,n1,n4,─,─,d5,p5,p1,n5,─,─,d8,p3,n2,─,─,p3,p1,p5,p1,─,─,n4,n4,n1,─,─,─,─,─,─,p1,n4,n2,n5,─,─,n4,n4,n1,─,─,n1,n5,n5,n2,─,─,n5,n4,─,─,p5,p5,n2,n2,─,─,n4,n4,n4,n2,n4,─,─,d8,p5,p5,p1,p5,─,─,─,─,─,─,p5,p1,n2,n5,n2,─,─,n2,n1,─,─,d7,n4,n1,─,─,s3,n5,─,─,n4,n5,n2,n1,─,─,d6,d1,n2,─,─,─,a3,a6,a6,a6,─,─,n4,n1,─,─,s3,p5,n1,─,─,n4,n4,n1,─,─,p1,n1,n1,n1,n5,─,─,n1,n5,n1,n5,─,─,─,n4,n1,n1,─,─,s3,n5,n4,─,─,d7,p5,p3,n1,n4,─,─,d5,d1,d1,d1,─,─,n4,n5,n4,─,─,d1,n4,n5,n1,─,─,─,─,─,─,─,─,a6,n1,─,─,p5,p3,n2,─,─,d5,p1,p3,n5,n5,─,─,n4,n2,n5,n5,n1,─,─,p3,n2,─,─,n4,n5,n2,n4,n4,─,─,─,─,─,n5,n2,n5,n2,─,─,─,n2,n2,n2,─,─,d1,n4,─,─,n4,n1,n4,n2,─,─,s4,n4,n1,n1,─,─,n5,n5,n4,n2,n2,─,─,n4,n4,n1,n2,n4,─,─,a4,p5,n1,n4,─,─,n2,n2,─,─,p4,n5,n2,n1,n4,─,─,s4,p5,─,─,─,d1,n4,n1,─,─,n2,n5,n4,─,─,n1,n2,─,─,d8,d8,d8,─,─,─,─,─,─,─,─,n1,n5,n4,n5,─,─,─,n5,n5,n4,─,─,n5,n5,─,─,n4,n5,n4,─,─,n5,n4,n3,n1,n5,─,─,n5,n5,60,0,0,0,0,0,0,0,0,0,60,0,
D,n5,n5,n5,n2,n1,─,─,p2,p2,n1,n1,n2,─,─,n5,n1,n2,─,─,─,─,─,─,─,─,─,─,─,─,─,p5,n2,n1,─,─,p2,p5,p5,n1,n1,─,─,d7,d8,d7,n1,─,─,─,─,─,─,─,─,─,─,p5,p3,p1,p1,p3,─,─,d7,p3,p2,p5,n5,─,─,d8,s3,p5,p5,p3,─,─,a5,p5,─,─,a5,n5,n1,─,─,p3,p5,n1,n1,─,─,n5,n1,n1,─,─,n1,n1,─,─,d6,p2,p1,p1,n2,─,─,d8,d8,s3,p5,p3,─,─,p1,p2,p3,p5,─,─,d8,d8,n2,n1,n1,─,─,─,─,─,─,n2,n1,n1,n5,─,─,s3,p5,p2,─,─,─,─,─,─,─,─,─,─,─,p1,p5,p3,p4,─,─,d8,p1,─,─,p3,p5,p1,n2,─,─,p5,p5,n2,n1,n1,─,─,─,─,p5,p5,p2,p5,─,─,─,p5,p3,p3,─,─,p3,n2,n2,─,─,p2,p5,n5,─,─,d7,n1,─,─,p5,n1,n2,n1,─,─,─,p5,p2,p3,n5,n2,─,─,d8,n5,─,─,p4,n1,n2,─,─,p1,p1,p5,─,─,p1,p5,n5,─,─,n2,n5,─,─,p5,n1,─,─,n5,n1,n2,n1,n1,─,─,p1,p3,p5,n5,─,─,n2,n2,n1,n2,n5,─,─,─,n2,n2,n1,n5,n5,─,─,─,p5,p5,p5,p5,n2,─,─,─,a5,a1,p7,n5,─,─,─,─,─,n2,n1,n5,n1,n2,─,─,─,─,─,─,n1,n2,n1,n1,─,─,p3,p3,p5,n5,n5,─,─,─,p5,n2,n2,─,─,n2,n2,─,─,s3,n5,n5,─,─,d8,p3,p5,n5,n2,─,─,n2,n1,n5,─,─,n2,n2,n5,─,─,n2,n5,n2,n2,─,─,n1,n1,─,─,s3,s3,p5,─,─,p3,p3,p5,81,0,0,0,0,0,0,0,0,0,81,0,
E,a4,p4,n3,p4,n6,─,─,─,─,s2,─,a7,─,s2,n6,a7,─,─,─,n6,a4,─,─,─,a4,s4,─,─,─,─,─,─,─,─,─,─,─,─,s2,p4,n3,─,─,─,─,s2,p4,─,─,─,─,p4,─,a4,n3,s4,p4,─,s2,p4,n6,p4,─,s1,s2,─,a4,s2,─,─,a4,a7,─,─,─,─,n3,p4,a7,─,a4,n3,─,p4,n3,─,─,s2,─,─,─,a7,s2,─,n3,s2,n3,─,─,s4,─,s2,─,a4,─,─,─,─,a4,s2,─,─,a4,a4,s2,n6,s4,─,─,a7,s4,n3,─,s2,n6,p4,a4,a7,s4,n3,─,─,a7,─,─,─,─,─,─,─,─,─,─,─,─,p4,n3,─,s2,─,─,s2,─,s4,p4,n3,─,s4,─,s4,n3,─,─,─,a7,─,a4,p4,a7,p4,n6,a7,─,─,p4,a4,─,─,─,a4,─,─,s2,n6,─,─,n6,─,s2,─,─,a4,s2,─,─,s2,─,a4,─,─,─,─,─,─,a7,p4,n3,─,s4,─,─,─,─,─,─,─,n6,─,─,a4,─,─,n6,─,─,─,─,─,n6,n3,─,s4,p4,a7,s4,─,a4,s4,a7,─,─,s4,p4,n3,─,─,─,a4,─,a7,a7,─,─,─,n6,n6,─,─,─,─,a7,─,s2,─,a4,n6,─,a4,s4,n3,s4,─,─,─,p4,─,a7,s2,a4,s4,a7,─,─,─,a4,s4,─,s2,─,─,─,─,─,─,─,─,─,─,─,─,a7,p4,─,─,─,p4,─,n3,a4,─,─,─,a7,s4,─,─,─,─,─,─,─,─,─,─,n3,─,─,─,─,─,a4,─,─,─,s2,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,a7,s2,─,a7,p4,s2,─,p4,─,─,s2,n6,─,a4,101116,0,31,32,8,0,0,0,0,27,116,0,
F,─,─,─,─,─,─,─,n3,s2,─,─,s2,p7,─,─,s4,─,s4,p7,a4,─,─,─,─,─,s2,─,s4,─,─,a4,a4,─,─,a4,s4,─,─,a7,s2,n3,s4,─,a4,s4,s2,─,─,a4,s2,─,─,─,a7,─,─,─,─,─,─,─,─,─,─,s2,p7,─,a4,─,s4,─,─,a4,a1,a4,─,─,─,a4,─,a4,s4,─,p7,─,─,─,─,a4,─,─,s2,a4,s4,n3,─,─,─,─,s4,p7,n3,─,a7,s2,n3,─,─,─,s2,a4,s2,a4,s4,─,p7,a7,p7,─,─,─,─,s4,─,─,s4,a4,─,─,─,─,─,s2,p7,a4,s2,p7,n3,─,s4,─,─,─,─,─,p7,─,─,─,s2,n3,a7,─,─,─,─,─,s4,─,─,p7,a7,─,─,─,─,a7,─,─,─,s2,n3,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,p7,n3,a4,a4,p7,a7,─,s2,p7,─,p7,a7,n3,p7,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,s2,n3,─,s2,─,a4,s4,n3,a4,s2,p7,n3,n3,a4,a7,s4,─,a7,a4,s2,─,a7,s2,─,─,a4,a7,─,a7,─,─,─,─,─,─,─,─,s2,─,─,a4,p7,─,─,p7,n3,a4,─,─,s4,p7,n3,─,─,n3,─,─,─,─,n3,a7,s2,p7,n3,─,─,─,n3,─,─,─,─,─,─,─,─,─,s2,p7,─,s4,─,─,─,a7,─,─,─,─,─,─,─,─,─,─,─,─,s4,p7,─,s2,n3,s4,─,a7,a4,─,a7,a7,─,─,n3,a7,s4,─,─,─,s4,p7,n3,a7,─,─,s4,a7,s2,─,─,a7,n3,─,p7,─,s4,─,─,a4,─,n3,─,─,─,─,─,─,a4,s2,p7,100078,8,25,24,10,0,0,0,0,33,78,0,
G,a7,s4,─,p4,─,─,─,─,─,s4,p4,n6,─,─,p7,─,─,─,─,p7,─,n6,a7,s4,a7,─,─,─,─,─,p7,n6,s4,p7,n6,p7,─,p4,─,p7,n3,─,a7,a7,─,─,n3,─,─,─,─,─,p4,─,─,n6,─,n3,a7,p7,─,─,─,─,─,a7,n3,p7,a7,s4,p7,─,─,p7,─,─,─,a7,─,s4,p4,n3,a7,p4,─,─,s4,a7,─,p4,─,─,s4,─,a7,─,─,p4,─,─,─,─,a7,s4,n3,─,─,─,─,─,─,─,─,─,p7,─,s4,─,─,s4,─,a7,─,n6,a7,─,─,a7,─,─,s4,p7,─,─,─,p4,n6,─,─,─,─,─,─,─,─,─,─,─,a7,─,─,─,─,p7,n6,─,─,─,n3,─,n3,─,─,a7,─,─,a7,p4,─,s4,p7,n6,─,─,─,─,a7,a7,n6,─,─,─,─,─,─,─,─,─,─,─,─,─,n3,p7,─,n3,n3,─,s4,─,─,─,─,─,─,─,p4,n6,─,─,─,n3,a7,p7,─,a7,n3,a7,n3,p7,─,s4,p7,─,─,p7,─,─,p7,─,─,p7,─,a7,n6,n3,─,─,─,a7,p4,─,p7,─,s4,p4,─,─,─,─,─,─,a7,─,─,─,p7,─,─,s4,n3,─,a7,p7,─,p7,a7,p7,a7,p4,─,─,─,n6,─,─,─,d6,a7,─,s4,n3,s4,─,─,a7,s4,n3,─,─,─,─,─,p7,─,─,p4,n6,─,─,p4,─,─,─,s4,─,─,s4,p7,a7,n3,─,─,a7,─,p7,a7,─,─,s4,a7,p7,n3,─,─,p4,─,s4,n6,─,n3,─,─,─,─,a7,n3,p7,─,─,─,─,s4,─,─,s4,─,─,n3,─,─,─,─,a4,s4,─,─,a7,─,n6,a7,─,─,s4,102163,2,40,28,5,0,1,0,0,26,163,0,
H,─,─,─,─,d4,─,p4,d4,n6,d4,p4,─,d4,─,p4,n6,─,d4,p7,p4,n6,─,p7,n6,─,─,─,─,─,─,d4,n6,s4,p7,d4,─,─,d7,n6,─,─,─,d4,p4,d4,─,─,d4,─,p4,─,d4,─,p7,─,─,─,─,d4,─,─,─,─,─,─,d4,─,p7,─,─,─,p4,n6,p4,─,─,─,p4,n6,─,p4,─,─,d4,p7,n6,─,d4,p4,─,─,─,─,p4,─,p7,n6,─,─,d4,─,n6,─,p7,─,p4,n6,p7,─,─,─,─,p7,─,─,n6,p7,─,p4,─,n6,p7,─,p4,p7,p4,─,n6,─,p7,─,─,─,p7,─,d4,─,─,─,─,─,─,─,─,─,─,d4,p7,─,p4,─,─,─,─,p7,─,n6,d4,─,─,p7,─,─,p4,d4,p7,d4,─,─,─,─,─,─,─,d4,n6,─,p7,d4,p4,n6,─,─,p7,─,p7,─,─,─,─,─,n6,─,n6,─,─,─,─,p7,─,─,p4,n6,─,d4,p4,d4,d4,p7,─,p4,─,d4,p4,─,─,p4,─,d4,p4,n6,n6,─,p7,d4,p4,n6,─,p7,─,p4,n6,─,─,n6,─,─,d4,─,─,─,d4,n6,d4,p7,─,d4,p7,p7,n6,n6,─,n6,p4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,d4,p7,n3,─,─,─,─,─,─,─,─,d4,p7,─,─,d4,─,─,─,─,─,─,p4,─,p4,─,─,─,─,─,─,─,─,─,─,─,─,─,d4,p4,─,─,─,─,p7,─,─,─,─,─,─,p7,p4,─,─,─,─,d4,p7,─,p7,─,─,d4,─,─,─,n6,d4,─,d4,p7,d4,p4,─,d4,d4,p7,n6,─,─,─,─,─,d4,p4,─,─,─,p4,d4,p4,─,p4,n3,─,117119,0,39,40,5,0,4,0,0,29,119,0,
I,─,n6,a4,a7,─,a4,s2,─,a4,s2,s2,─,─,n6,─,─,─,─,─,─,─,─,─,─,─,─,a7,d4,n6,─,─,─,─,─,─,─,─,─,─,─,n6,─,s2,─,d4,a7,─,a4,─,─,s2,n6,d4,─,─,a7,n6,─,─,d4,a7,─,a7,a4,s2,─,─,d4,a4,─,─,a7,s2,─,s2,n3,─,─,─,─,─,─,─,─,s2,─,s2,a4,n6,a4,─,n6,─,s2,a4,s2,n6,─,d4,n6,s2,─,─,─,─,a7,d4,─,d4,─,─,─,a7,─,a7,s2,─,s2,─,─,─,d4,─,─,─,─,s2,n6,a4,─,─,─,─,─,─,─,─,─,─,d4,n6,a4,─,─,a7,n6,─,─,─,─,d4,d4,a7,─,─,a4,─,─,s2,a7,n6,a4,s2,─,d4,n6,a7,─,n6,a7,─,─,─,─,─,a7,─,─,d4,s2,─,─,─,─,a4,n6,a7,s2,─,─,─,─,d4,n6,─,a7,─,a7,─,d4,─,a4,s2,─,a4,s2,n6,─,─,a7,n6,─,d4,a4,─,a4,d4,─,─,─,a7,n6,─,─,a4,─,─,─,a4,a7,─,s2,n6,d4,─,─,s2,n6,─,a7,─,─,s2,─,─,s2,s2,a7,─,a7,n6,─,─,─,─,─,a7,─,─,n6,─,a7,─,n6,a7,─,─,a4,d4,─,─,d4,─,d4,n6,a7,─,─,─,a4,s2,─,s2,a7,s2,─,─,d4,s2,─,s2,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,a7,s2,─,a7,─,─,s2,─,─,─,─,─,a7,─,d4,─,─,─,─,a4,s2,─,─,d4,─,a7,n6,a7,─,─,─,s2,─,n6,─,─,─,─,─,─,─,a7,n6,─,─,─,d4,n6,d4,n6,─,─,─,─,─,─,─,d4,111109,0,30,35,7,0,2,0,0,37,109,0,
J,s2,n6,─,a7,─,s2,─,─,─,─,a7,s2,─,─,s4,a7,s4,n6,─,─,─,─,─,─,─,s2,─,─,─,s4,a7,─,─,─,─,a7,s4,a7,─,─,s2,─,s2,n6,─,s4,s2,─,─,a7,a7,s2,─,─,s2,─,─,a7,a7,s4,─,s4,─,─,─,─,─,─,─,s4,─,a7,s2,─,a7,n6,s2,─,─,a7,─,─,n6,─,─,a6,s4,─,─,─,─,a7,s2,─,─,a7,s2,─,s2,─,─,a7,─,s2,─,s4,─,s2,─,a7,n6,a7,─,─,n6,─,─,n6,─,a7,s2,n6,─,─,─,s4,n6,─,a7,s2,n6,s2,─,─,n6,─,─,─,a7,s4,a7,s2,─,s4,n6,a7,s4,n6,─,s4,─,a7,─,s4,n6,n6,s2,─,─,s2,n6,s4,─,─,─,─,─,a7,s2,a7,s4,─,─,s4,n6,─,─,─,─,─,─,─,a7,─,─,s4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,s2,─,─,─,s2,─,─,─,─,s2,─,a7,─,─,─,a7,s2,─,a7,s4,─,─,s2,n6,─,s4,─,─,─,a7,s4,n6,s2,p7,─,─,─,─,s2,─,a7,─,─,─,─,n6,─,s4,a7,s2,a7,s4,─,─,s4,─,s2,─,─,s4,─,─,─,─,s4,─,─,─,─,─,a7,s4,n6,s4,n6,─,n6,─,─,─,─,─,─,─,─,s2,n6,─,a7,a7,─,─,s4,n6,─,─,a7,─,─,s4,─,─,─,─,s4,─,s4,a4,s4,─,─,n6,─,─,─,s2,─,a7,─,─,s4,n6,a7,─,─,─,─,a4,s2,─,─,─,a7,s2,p7,─,─,s4,─,s2,n6,a7,s2,─,─,─,─,─,─,─,─,─,─,─,─,s2,n6,a7,─,─,─,a7,n6,114117,0,41,29,11,0,9,0,0,24,114,3,
