0	2	13	2
0	3	13	2
0	4	13	2
0	5	13	2
0	6	13	2
0	29	10	1
0	30	10	1
0	31	10	1
0	32	10	1
0	129	6	3
0	130	6	3
0	131	6	3
0	132	6	3
0	162	2	3
0	265	26	2
1	0	0	3
1	1	0	3
1	2	0	3
1	3	0	3
1	4	0	3
1	21	4	2
1	22	4	2
1	23	4	2
1	24	4	2
1	86	3	1
1	87	3	1
1	88	3	1
1	89	3	1
1	110	29	3
1	111	29	3
1	112	29	3
1	113	29	3
1	114	29	3
1	157	15	1
1	189	15	3
1	225	5	2
1	242	29	2
1	243	29	2
1	249	7	3
1	250	7	3
1	254	18	1
1	255	18	1
1	256	18	1
1	257	18	1
1	258	18	1
1	293	5	2
1	303	28	1
1	304	28	1
1	305	28	1
1	315	12	1
1	316	12	1
1	317	12	1
2	1	26	2
2	2	26	2
2	3	26	2
2	4	26	2
2	22	18	2
2	23	18	2
2	52	21	3
2	53	21	3
2	54	21	3
2	55	21	3
2	90	3	2
2	91	3	2
2	92	3	2
2	98	2	2
2	99	2	2
2	100	2	2
2	101	2	2
2	102	2	2
2	107	23	3
2	108	23	3
2	142	27	2
2	158	13	3
2	159	13	3
2	227	7	3
2	228	7	3
2	242	19	1
2	243	19	1
2	265	2	1
2	270	8	2
2	271	8	2
2	272	8	2
2	273	8	2
2	274	8	2
2	279	18	2
2	280	18	2
2	313	7	1
2	314	7	1
2	315	7	1
2	316	7	1
3	7	12	3
3	8	12	3
3	9	12	3
3	35	12	3
3	36	12	3
3	37	12	3
3	64	30	1
3	65	30	1
3	86	0	1
3	87	0	1
3	88	0	1
3	89	0	1
3	134	13	2
3	135	13	2
3	136	13	2
3	137	13	2
3	138	13	2
3	152	18	1
3	153	18	1
3	202	1	2
3	203	1	2
3	204	1	2
3	234	16	2
3	242	27	1
3	243	27	1
3	244	27	1
3	245	27	1
3	256	0	1
3	312	30	2
3	313	30	2
3	314	30	2
3	329	0	2
3	330	0	2
3	331	0	2
3	332	0	2
3	333	0	2
3	339	0	1
3	340	0	1
4	1	1	3
4	2	1	3
4	67	7	3
4	68	7	3
4	69	7	3
4	130	29	1
4	131	29	1
4	132	29	1
4	227	12	2
4	228	12	2
4	282	19	3
4	283	19	3
4	284	19	3
4	329	19	1
4	330	19	1
4	331	19	1
4	332	19	1
4	355	9	2
4	356	9	2
4	357	9	2
4	358	9	2
4	359	9	2
5	35	21	1
5	36	21	1
5	37	21	1
5	38	21	1
5	72	20	2
5	73	20	2
5	74	20	2
5	86	24	3
5	87	24	3
5	109	17	2
5	110	17	2
5	111	17	2
5	112	17	2
5	145	20	3
5	146	20	3
5	147	20	3
5	157	23	2
5	163	6	1
5	164	6	1
5	165	6	1
5	219	25	2
5	220	25	2
5	268	3	2
5	269	3	2
5	270	3	2
5	271	3	2
5	272	3	2
5	278	18	2
5	279	18	2
5	285	25	3
5	286	25	3
5	287	25	3
5	292	20	1
5	293	20	1
5	294	20	1
5	295	20	1
5	296	20	1
5	352	18	3
5	353	18	3
5	354	18	3
5	355	18	3
6	2	18	3
6	3	18	3
6	4	18	3
6	38	29	3
6	39	29	3
