,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
A,0,0,0,0,1,2,2,1,1,1,1,1,2,2,2,0,0,1,2,2,2,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,11,8160,
B,0,0,0,0,2,2,2,0,0,2,2,2,0,0,0,2,2,0,0,2,2,0,0,2,2,0,0,0,8,0,0,0,0,0,0,0,0,0,2,6,16,0,7680,
C,2,0,0,1,1,2,2,2,0,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,2,10,0,0,0,0,0,0,0,0,0,10,0,3,14,8160,
D,1,2,2,0,1,1,1,2,2,0,0,0,2,2,1,1,1,1,2,2,1,1,2,2,0,1,2,2,9,0,0,0,0,0,0,0,0,0,9,0,5,11,7680,
E,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,2,2,2,0,0,2,2,2,0,0,18,0,0,0,0,0,0,0,0,0,12,6,4,12,7680,
F,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,9,0,0,0,0,0,0,0,0,0,3,6,0,16,7680,
G,1,1,1,1,1,2,2,1,1,1,1,2,2,0,1,2,2,0,0,0,1,2,2,1,1,2,2,2,12,0,0,0,0,0,0,0,0,0,12,0,4,13,8160,
H,2,2,1,1,1,2,2,0,0,1,2,2,0,0,0,0,0,2,2,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,4,7680,
I,0,0,0,2,2,2,0,0,2,2,0,0,2,2,0,0,0,0,1,2,2,0,0,0,0,2,2,0,8,0,0,0,0,0,0,0,0,0,8,0,16,1,8160,
J,2,0,0,1,1,2,2,0,0,0,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,9,7680,
人数違反,2,2,1,4,204,400,200,1,100,102,2,201,200,500,0,201,101,3,0,600,101,0,1,400,300,500,300,0,
Eの勤務人数,3,5,5,3,0,0,1,4,4,2,2,2,2,3,3,3,3,3,2,2,1,4,3,1,3,2,3,4,
Lの勤務人数,4,3,4,6,7,1,2,3,2,4,5,4,1,0,4,5,5,5,3,2,3,4,3,3,2,3,2,1,
Eの必要人数,2,3,4,2,2,2,2,3,4,3,2,4,2,5,3,5,4,3,2,6,2,4,3,5,4,4,4,4,
Lの必要人数,3,3,4,3,3,3,3,3,3,2,3,3,3,3,4,4,4,2,3,4,2,4,2,3,4,6,4,1,
