回数,計算時間,評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト,人数違反
0,0.041000,4501,0,0,0,0,0,0,0,0,0,56,19,4426,
0,0.068000,3579,0,0,0,0,0,0,0,0,0,50,15,3514,
0,0.072000,3579,0,0,0,0,0,0,0,0,0,50,15,3514,
0,0.750000,2523,0,0,0,0,0,0,0,0,0,15,2,2506,
0,1.395000,2422,0,0,0,0,0,0,0,0,0,13,4,2405,
0,2.046000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,2.687000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,3.340000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,3.982000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,4.632000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,5.279000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,5.928000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,6.577000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,7.221000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,7.869000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,8.511000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,9.159000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,9.814000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,10.468000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,11.116000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,11.769000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,12.415000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,13.065000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,13.714000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,14.361000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,15.007000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
0,15.652000,2222,0,0,0,0,0,0,0,0,0,16,2,2204,
