回数,計算時間,評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト,人数違反
0,0.372000,15939,0,0,0,0,0,0,0,0,0,228,24,15687,
0,1.882000,8825,0,0,0,0,0,0,0,0,0,180,22,8623,
0,1.886000,8825,0,0,0,0,0,0,0,0,0,180,22,8623,
0,4.202000,6334,0,0,0,0,0,0,0,0,0,129,0,6205,
0,6.512000,6123,0,0,0,0,0,0,0,0,0,116,0,6007,
0,8.824000,6017,0,0,0,0,0,0,0,0,0,112,1,5904,
0,11.135000,5920,0,0,0,0,0,0,0,0,0,115,0,5805,
0,13.461000,5918,0,0,0,0,0,0,0,0,0,115,0,5803,
0,15.858000,5918,0,0,0,0,0,0,0,0,0,115,0,5803,
0,18.246000,5917,0,0,0,0,0,0,0,0,0,111,1,5805,
0,20.635000,5917,0,0,0,0,0,0,0,0,0,111,1,5805,
0,22.985000,5917,0,0,0,0,0,0,0,0,0,111,1,5805,
0,25.327000,5820,0,0,0,0,0,0,0,0,0,114,0,5706,
0,27.679000,5819,0,0,0,0,0,0,0,0,0,115,1,5703,
0,30.101000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,32.425000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,35.017000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,37.385000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,39.857000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,42.248000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,44.801000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,47.241000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,49.608000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,51.991000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,54.393000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,56.771000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,59.136000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,61.496000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,63.922000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,66.494000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,68.943000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,71.315000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,73.650000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,76.025000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,78.626000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,81.013000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,83.366000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,85.681000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,87.887000,5816,0,0,0,0,0,0,0,0,0,111,0,5705,
0,93.677000,5810,0,0,0,0,0,0,0,0,0,107,0,5703,
0,99.453000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,105.232000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,111.013000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,116.794000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,122.570000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,128.338000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,134.212000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,140.063000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,145.925000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,151.724000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,156.194000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,165.765000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,175.207000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,184.226000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,193.439000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,202.511000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,211.567000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,216.194000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,216.210000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,216.217000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
0,216.219000,5808,0,0,0,0,0,0,0,0,0,107,0,5701,
